Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
7684,2024-04-06,tourcoing,rougeyron dorian,andré brouat toulouse,1,louchart edouard,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7684,2024-04-06,tourcoing,rougeyron dorian,andré brouat toulouse,2,loubeyre thibault (l),-,-,-,-,-,-,6,-,83%,50%,-,-,-,-,.,-
7684,2024-04-06,tourcoing,rougeyron dorian,andré brouat toulouse,3,gargiulo giovanni-maria,9,1,7,8,1,1,4,1,0%,0%,7,-,-,6,86%,2
7684,2024-04-06,tourcoing,rougeyron dorian,andré brouat toulouse,4,rodrigues wan der maas robson,2,-,-1,4,2,-,8,-,50%,13%,7,-,1,2,29%,-
7684,2024-04-06,tourcoing,rougeyron dorian,andré brouat toulouse,6,lavigne tom,1,1,-,3,1,1,-,-,.,.,-,-,-,-,.,-
7684,2024-04-06,tourcoing,rougeyron dorian,andré brouat toulouse,7,giraudo matias,3,2,1,9,2,1,-,-,.,.,2,-,-,1,50%,1
7684,2024-04-06,tourcoing,rougeyron dorian,andré brouat toulouse,9,fasteland rune,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7684,2024-04-06,tourcoing,rougeyron dorian,andré brouat toulouse,11,roehrig simon,1,-,1,1,-,-,-,-,.,.,1,-,-,1,100%,-
7684,2024-04-06,tourcoing,rougeyron dorian,andré brouat toulouse,14,freimanis gustavs,4,1,3,6,-,-,-,-,.,.,7,-,1,3,43%,1
7684,2024-04-06,tourcoing,rougeyron dorian,andré brouat toulouse,16,koukartsev pablo,14,5,7,12,2,2,-,-,.,.,30,2,3,11,37%,1
7684,2024-04-06,tourcoing,rougeyron dorian,andré brouat toulouse,17,barnes ryley,6,2,1,12,3,-,24,-,46%,8%,13,2,-,5,38%,1
7684,2024-04-06,tourcoing,rougeyron dorian,andré brouat toulouse,19,quiroga lozada gonzalo,4,1,-2,8,1,-,22,2,45%,18%,14,3,-,4,29%,-
7684,2024-04-06,tourcoing,rougeyron dorian,andré brouat toulouse,,totals,44,13,17,63,12,5,64,3,47%,16%,81,7,5,33,41%,6
