Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
7409,2024-01-26,tourcoing,rougeyron dorian,lawson body poitiers,1,louchart edouard,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7409,2024-01-26,tourcoing,rougeyron dorian,lawson body poitiers,2,loubeyre thibault (l),-,-,-,-,-,-,11,-,64%,55%,-,-,-,-,.,-
7409,2024-01-26,tourcoing,rougeyron dorian,lawson body poitiers,4,rodrigues wan der maas robson,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7409,2024-01-26,tourcoing,rougeyron dorian,lawson body poitiers,5,hristoskov petar valentinov,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7409,2024-01-26,tourcoing,rougeyron dorian,lawson body poitiers,6,lavigne tom,-,-,-1,2,1,-,-,-,.,.,-,-,-,-,.,-
7409,2024-01-26,tourcoing,rougeyron dorian,lawson body poitiers,7,giraudo matias,4,3,2,8,2,1,-,-,.,.,2,-,-,2,100%,1
7409,2024-01-26,tourcoing,rougeyron dorian,lawson body poitiers,9,fasteland rune,7,3,7,7,-,-,1,-,100%,100%,8,-,-,5,63%,2
7409,2024-01-26,tourcoing,rougeyron dorian,lawson body poitiers,11,roehrig simon,7,5,4,14,1,2,1,-,100%,0%,5,1,1,2,40%,3
7409,2024-01-26,tourcoing,rougeyron dorian,lawson body poitiers,14,freimanis gustavs,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7409,2024-01-26,tourcoing,rougeyron dorian,lawson body poitiers,16,koukartsev pablo,18,9,13,15,1,2,-,-,.,.,29,1,3,15,52%,1
7409,2024-01-26,tourcoing,rougeyron dorian,lawson body poitiers,17,barnes ryley,13,6,9,15,-,2,13,-,54%,46%,17,3,1,8,47%,3
7409,2024-01-26,tourcoing,rougeyron dorian,lawson body poitiers,19,quiroga lozada gonzalo,4,1,1,13,1,-,13,-,46%,23%,9,1,1,3,33%,1
7409,2024-01-26,tourcoing,rougeyron dorian,lawson body poitiers,,totals,53,27,35,74,6,7,39,-,56%,41%,70,6,6,35,50%,11
