Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
7321,2023-11-11,narbonne,redwitz rafael,arena narbonne,1,mosquera galvis ronnie stewar,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7321,2023-11-11,narbonne,redwitz rafael,arena narbonne,2,kovacevic filip,4,1,-2,4,1,-,8,-,25%,13%,13,2,3,4,31%,-
7321,2023-11-11,narbonne,redwitz rafael,arena narbonne,3,bostan arda,3,2,-,12,3,1,1,-,0%,0%,-,-,-,-,.,2
7321,2023-11-11,narbonne,redwitz rafael,arena narbonne,5,valencia gonzalez edson alberto ,17,6,6,10,4,1,1,-,0%,0%,33,4,3,16,48%,-
7321,2023-11-11,narbonne,redwitz rafael,arena narbonne,8,patte liam,3,-,-2,6,1,-,13,2,38%,23%,9,2,-,3,33%,-
7321,2023-11-11,narbonne,redwitz rafael,arena narbonne,10,dagostino kyle (l),-,-,-,-,-,-,13,-,69%,31%,-,-,-,-,.,-
7321,2023-11-11,narbonne,redwitz rafael,arena narbonne,11,dijoud tanguy,2,-,1,4,1,-,-,-,.,.,3,-,-,2,67%,-
7321,2023-11-11,narbonne,redwitz rafael,arena narbonne,12,kolev nikolay,2,-,-4,12,1,-,2,1,50%,0%,7,1,3,1,14%,1
7321,2023-11-11,narbonne,redwitz rafael,arena narbonne,13,njok samuel,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7321,2023-11-11,narbonne,redwitz rafael,arena narbonne,16,rodriguez kévin,1,-,-,3,1,-,-,-,.,.,1,-,-,1,100%,-
7321,2023-11-11,narbonne,redwitz rafael,arena narbonne,17,faua pita,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7321,2023-11-11,narbonne,redwitz rafael,arena narbonne,20,pusi tualau,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7321,2023-11-11,narbonne,redwitz rafael,arena narbonne,21,tatarov georgi,9,5,1,12,3,1,24,3,33%,21%,16,2,-,7,44%,1
7321,2023-11-11,narbonne,redwitz rafael,arena narbonne,22,almarcha valentin (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7321,2023-11-11,narbonne,redwitz rafael,arena narbonne,,totals,41,14,-,63,15,3,62,6,40%,21%,82,11,9,34,41%,4
