Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
7401,2024-01-20,narbonne,redwitz rafael,louis marty sète,1,mosquera galvis ronnie stewar,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7401,2024-01-20,narbonne,redwitz rafael,louis marty sète,4,hoff mikkel,2,1,1,8,-,1,2,-,0%,0%,2,1,-,1,50%,-
7401,2024-01-20,narbonne,redwitz rafael,louis marty sète,6,lopez rios josue de jesus ,10,5,3,9,5,1,14,-,50%,36%,11,2,-,7,64%,2
7401,2024-01-20,narbonne,redwitz rafael,louis marty sète,7,cagliari daniel,19,6,15,15,3,4,-,-,.,.,24,-,1,15,63%,-
7401,2024-01-20,narbonne,redwitz rafael,louis marty sète,8,patte liam,3,3,-3,5,1,-,4,1,25%,25%,9,2,2,2,22%,1
7401,2024-01-20,narbonne,redwitz rafael,louis marty sète,10,dagostino kyle (l),-,-,-1,-,-,-,13,1,62%,46%,-,-,-,-,.,-
7401,2024-01-20,narbonne,redwitz rafael,louis marty sète,11,dijoud tanguy,3,1,1,10,1,-,2,-,0%,0%,3,1,-,2,67%,1
7401,2024-01-20,narbonne,redwitz rafael,louis marty sète,12,kolev nikolay,7,5,3,12,2,1,1,1,0%,0%,6,-,1,3,50%,3
7401,2024-01-20,narbonne,redwitz rafael,louis marty sète,13,njok samuel,-,-,-,-,-,-,-,-,.,.,1,-,-,-,0%,-
7401,2024-01-20,narbonne,redwitz rafael,louis marty sète,16,rodriguez kévin,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7401,2024-01-20,narbonne,redwitz rafael,louis marty sète,21,tatarov georgi,13,3,5,17,3,-,22,2,32%,18%,27,2,1,11,41%,2
7401,2024-01-20,narbonne,redwitz rafael,louis marty sète,22,almarcha valentin (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7401,2024-01-20,narbonne,redwitz rafael,louis marty sète,,totals,57,24,24,76,15,7,58,5,40%,28%,83,8,5,41,49%,9
