Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
7372,2023-12-30,poitiers,donat brice,lawson body poitiers,2,cannessant tom (l),-,-,-1,-,-,-,19,1,42%,37%,-,-,-,-,.,-
7372,2023-12-30,poitiers,donat brice,lawson body poitiers,3,noda blanco sergio,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7372,2023-12-30,poitiers,donat brice,lawson body poitiers,5,concepcion rojas javier octavio,8,4,4,8,2,-,5,-,60%,20%,13,1,1,6,46%,2
7372,2023-12-30,poitiers,donat brice,lawson body poitiers,6,elser  mathias,7,2,-2,13,2,-,26,3,50%,42%,17,2,2,7,41%,-
7372,2023-12-30,poitiers,donat brice,lawson body poitiers,8,walsh brett,4,4,-,25,4,3,-,-,.,.,1,-,-,1,100%,-
7372,2023-12-30,poitiers,donat brice,lawson body poitiers,15,raptis alexandros,16,4,6,15,6,1,22,-,27%,18%,22,1,3,12,55%,3
7372,2023-12-30,poitiers,donat brice,lawson body poitiers,17,toy metin,23,6,15,18,5,2,-,-,.,.,32,-,3,20,63%,1
7372,2023-12-30,poitiers,donat brice,lawson body poitiers,21,howe jackson,12,2,8,10,3,-,2,1,50%,50%,12,-,-,11,92%,1
7372,2023-12-30,poitiers,donat brice,lawson body poitiers,22,piskacek ondrej,-,-,-,3,-,-,-,-,.,.,-,-,-,-,.,-
7372,2023-12-30,poitiers,donat brice,lawson body poitiers,23,roatta maxime,-,-,-3,4,3,-,-,-,.,.,-,-,-,-,.,-
7372,2023-12-30,poitiers,donat brice,lawson body poitiers,,totals,70,22,27,96,25,6,74,5,42%,32%,97,4,9,57,59%,7
