Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
7407,2024-01-27,montpellier,le marrec loïc,espace omnisports plessis-robinson,3,tizi oualou amir,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
7407,2024-01-27,montpellier,le marrec loïc,espace omnisports plessis-robinson,4,quiot florent (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7407,2024-01-27,montpellier,le marrec loïc,espace omnisports plessis-robinson,5,reichert moritz,16,4,12,17,2,-,21,-,67%,38%,29,1,1,16,55%,-
7407,2024-01-27,montpellier,le marrec loïc,espace omnisports plessis-robinson,6,demyanenko danny,16,3,8,16,6,-,-,-,.,.,20,-,2,13,65%,3
7407,2024-01-27,montpellier,le marrec loïc,espace omnisports plessis-robinson,7,gomez german,3,2,-1,4,1,1,-,-,.,.,5,2,1,1,20%,1
7407,2024-01-27,montpellier,le marrec loïc,espace omnisports plessis-robinson,9,corre raphaël,4,2,1,16,3,1,1,-,0%,0%,5,-,-,2,40%,1
7407,2024-01-27,montpellier,le marrec loïc,espace omnisports plessis-robinson,10,ruiz posadas daniel (l),-,-,-3,-,-,-,36,3,47%,25%,-,-,-,-,.,-
7407,2024-01-27,montpellier,le marrec loïc,espace omnisports plessis-robinson,11,seddik joris,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7407,2024-01-27,montpellier,le marrec loïc,espace omnisports plessis-robinson,12,spano nathan,-,-,-1,3,1,-,-,-,.,.,-,-,-,-,.,-
7407,2024-01-27,montpellier,le marrec loïc,espace omnisports plessis-robinson,14,le goff nicolas,10,3,9,10,1,-,1,-,100%,100%,12,-,-,8,67%,2
7407,2024-01-27,montpellier,le marrec loïc,espace omnisports plessis-robinson,17,marttila luka,10,3,-2,20,4,1,30,2,43%,33%,23,3,3,8,35%,1
7407,2024-01-27,montpellier,le marrec loïc,espace omnisports plessis-robinson,74,dimitrov dimitar,17,4,10,10,2,1,-,-,.,.,30,1,4,13,43%,3
7407,2024-01-27,montpellier,le marrec loïc,espace omnisports plessis-robinson,,totals,76,21,33,97,20,4,89,5,51%,31%,124,7,11,61,49%,11
