Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
7355,2023-12-05,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,1,firkal' julius,9,2,-,11,3,1,38,1,50%,11%,18,2,3,8,44%,-
7355,2023-12-05,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,2,ripoche arthur,-,-,-,-,-,-,-,-,.,.,1,-,-,-,0%,-
7355,2023-12-05,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,4,mukelenge jérémie,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
7355,2023-12-05,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,5,jeanlys samuel,11,1,1,8,2,-,-,-,.,.,31,5,3,10,32%,1
7355,2023-12-05,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,6,debes julian (l),-,-,-,-,-,-,14,-,64%,14%,-,-,-,-,.,-
7355,2023-12-05,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,7,iglesias arturo,1,-,1,4,-,-,-,-,.,.,2,-,-,1,50%,-
7355,2023-12-05,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,10,paofai nohoarii,2,-,1,4,-,-,-,-,.,.,5,-,1,2,40%,-
7355,2023-12-05,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,11,gnenegbe yao,-,-,-1,4,1,-,1,-,0%,0%,1,-,-,-,0%,-
7355,2023-12-05,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,13,wa-bala joevin,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7355,2023-12-05,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,14,wounembaina nathan,11,5,4,11,2,2,15,1,47%,13%,20,1,3,9,45%,-
7355,2023-12-05,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,16,canovas nathan (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7355,2023-12-05,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,20,henry mederic,6,1,5,11,-,-,-,-,.,.,8,-,1,5,63%,1
7355,2023-12-05,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,25,jouffroy quentin,5,2,1,5,2,1,-,-,.,.,7,1,1,3,43%,1
7355,2023-12-05,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,,totals,45,11,12,59,10,4,68,2,51%,12%,93,9,12,38,41%,3
