Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
7461,2024-03-16,narbonne,redwitz rafael,arena narbonne,1,mosquera galvis ronnie stewar,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7461,2024-03-16,narbonne,redwitz rafael,arena narbonne,4,hoff mikkel,2,1,-1,10,3,1,-,-,.,.,2,-,-,1,50%,-
7461,2024-03-16,narbonne,redwitz rafael,arena narbonne,6,lopez rios josue de jesus ,8,3,-1,12,5,1,12,2,42%,25%,18,1,1,7,39%,-
7461,2024-03-16,narbonne,redwitz rafael,arena narbonne,7,cagliari daniel,18,5,11,19,3,3,-,-,.,.,32,2,2,14,44%,1
7461,2024-03-16,narbonne,redwitz rafael,arena narbonne,8,patte liam,2,1,2,2,-,-,1,-,100%,100%,4,-,-,2,50%,-
7461,2024-03-16,narbonne,redwitz rafael,arena narbonne,10,dagostino kyle (l),-,-,-2,-,-,-,16,2,56%,38%,-,-,-,-,.,-
7461,2024-03-16,narbonne,redwitz rafael,arena narbonne,11,dijoud tanguy,6,2,3,10,2,1,2,-,50%,50%,8,-,1,4,50%,1
7461,2024-03-16,narbonne,redwitz rafael,arena narbonne,12,kolev nikolay,9,5,6,12,1,-,-,-,.,.,8,2,-,5,63%,4
7461,2024-03-16,narbonne,redwitz rafael,arena narbonne,13,njok samuel,-,-,-2,4,2,-,-,-,.,.,-,-,-,-,.,-
7461,2024-03-16,narbonne,redwitz rafael,arena narbonne,16,rodriguez kévin,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7461,2024-03-16,narbonne,redwitz rafael,arena narbonne,17,faua pita,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7461,2024-03-16,narbonne,redwitz rafael,arena narbonne,20,pusi tualau,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7461,2024-03-16,narbonne,redwitz rafael,arena narbonne,21,tatarov georgi,9,4,2,10,3,1,26,2,31%,19%,21,2,-,7,33%,1
7461,2024-03-16,narbonne,redwitz rafael,arena narbonne,22,almarcha valentin (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7461,2024-03-16,narbonne,redwitz rafael,arena narbonne,,totals,54,21,18,79,19,7,57,6,42%,28%,93,7,4,40,43%,7
