Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
7389,2024-01-06,tours,fronckowiak marcelo,palestra chaumont,3,faganas julien,18,6,10,13,4,-,-,-,.,.,32,3,1,16,50%,2
7389,2024-01-06,tours,fronckowiak marcelo,palestra chaumont,5,nascimento dos santos leandro,10,3,2,26,6,1,2,-,0%,0%,13,-,2,9,69%,-
7389,2024-01-06,tours,fronckowiak marcelo,palestra chaumont,6,pothron antoine,6,3,-1,9,-,1,20,2,50%,35%,14,3,2,4,29%,1
7389,2024-01-06,tours,fronckowiak marcelo,palestra chaumont,7,ramon luca (l),-,-,-2,-,-,-,21,2,57%,19%,-,-,-,-,.,-
7389,2024-01-06,tours,fronckowiak marcelo,palestra chaumont,8,gabin alexandre,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7389,2024-01-06,tours,fronckowiak marcelo,palestra chaumont,9,mendez nicolas,14,2,6,18,4,-,27,2,59%,33%,27,2,-,13,48%,1
7389,2024-01-06,tours,fronckowiak marcelo,palestra chaumont,11,tammearu märt,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7389,2024-01-06,tours,fronckowiak marcelo,palestra chaumont,14,prevert  gildas,1,1,-1,6,2,1,-,-,.,.,-,-,-,-,.,-
7389,2024-01-06,tours,fronckowiak marcelo,palestra chaumont,17,coric zeljko,4,3,2,19,2,-,-,-,.,.,3,-,-,2,67%,2
7389,2024-01-06,tours,fronckowiak marcelo,palestra chaumont,19,strehlau alexandre,12,4,4,9,4,-,20,2,35%,15%,25,1,1,11,44%,1
7389,2024-01-06,tours,fronckowiak marcelo,palestra chaumont,20,klajmon jakub,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7389,2024-01-06,tours,fronckowiak marcelo,palestra chaumont,22,parkinson michael,14,5,13,14,-,-,4,-,25%,0%,17,1,-,9,53%,5
7389,2024-01-06,tours,fronckowiak marcelo,palestra chaumont,,totals,79,27,33,114,22,3,94,8,49%,24%,131,10,6,64,49%,12
