Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
7383,2024-01-03,tourcoing,rougeyron dorian,espace omnisports plessis-robinson,1,louchart edouard,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7383,2024-01-03,tourcoing,rougeyron dorian,espace omnisports plessis-robinson,2,loubeyre thibault (l),-,-,-,-,-,-,15,-,53%,27%,-,-,-,-,.,-
7383,2024-01-03,tourcoing,rougeyron dorian,espace omnisports plessis-robinson,4,rodrigues wan der maas robson,13,6,8,12,1,2,21,1,48%,19%,15,-,3,10,67%,1
7383,2024-01-03,tourcoing,rougeyron dorian,espace omnisports plessis-robinson,5,hristoskov petar valentinov,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7383,2024-01-03,tourcoing,rougeyron dorian,espace omnisports plessis-robinson,6,lavigne tom,1,1,1,8,-,1,-,-,.,.,-,-,-,-,.,-
7383,2024-01-03,tourcoing,rougeyron dorian,espace omnisports plessis-robinson,7,giraudo matias,5,4,1,12,2,1,-,-,.,.,3,2,-,-,0%,4
7383,2024-01-03,tourcoing,rougeyron dorian,espace omnisports plessis-robinson,8,le moal clément,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7383,2024-01-03,tourcoing,rougeyron dorian,espace omnisports plessis-robinson,9,fasteland rune,6,2,5,12,1,-,-,-,.,.,12,-,-,5,42%,1
7383,2024-01-03,tourcoing,rougeyron dorian,espace omnisports plessis-robinson,11,roehrig simon,6,3,5,9,-,-,2,-,50%,50%,6,1,-,5,83%,1
7383,2024-01-03,tourcoing,rougeyron dorian,espace omnisports plessis-robinson,13,luaki tomasi,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7383,2024-01-03,tourcoing,rougeyron dorian,espace omnisports plessis-robinson,14,freimanis gustavs,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7383,2024-01-03,tourcoing,rougeyron dorian,espace omnisports plessis-robinson,15,dalle quentin (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7383,2024-01-03,tourcoing,rougeyron dorian,espace omnisports plessis-robinson,16,koukartsev pablo,15,5,4,10,3,-,-,-,.,.,29,5,3,13,45%,2
7383,2024-01-03,tourcoing,rougeyron dorian,espace omnisports plessis-robinson,17,barnes ryley,3,-,-4,5,2,-,14,3,29%,21%,14,1,1,3,21%,-
7383,2024-01-03,tourcoing,rougeyron dorian,espace omnisports plessis-robinson,19,quiroga lozada gonzalo,3,-,-1,2,1,-,15,2,27%,13%,8,1,-,3,38%,-
7383,2024-01-03,tourcoing,rougeyron dorian,espace omnisports plessis-robinson,,totals,52,21,19,70,10,4,67,6,40%,21%,87,10,7,39,45%,9
