Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
7392,2024-01-12,sète,marquet luc,andré brouat toulouse,1,gauna maximiliano,4,1,3,17,1,-,1,-,0%,0%,9,-,-,3,33%,1
7392,2024-01-12,sète,marquet luc,andré brouat toulouse,2,capet romain ,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7392,2024-01-12,sète,marquet luc,andré brouat toulouse,3,hrytsenko danylo,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7392,2024-01-12,sète,marquet luc,andré brouat toulouse,7,garcia matthieu,1,1,-1,18,2,1,-,-,.,.,4,-,-,-,0%,-
7392,2024-01-12,sète,marquet luc,andré brouat toulouse,8,diop cheikh,23,3,15,15,5,-,-,-,.,.,32,1,2,20,63%,3
7392,2024-01-12,sète,marquet luc,andré brouat toulouse,9,abboub djamel,2,2,-,-,-,-,2,2,0%,0%,2,-,-,2,100%,-
7392,2024-01-12,sète,marquet luc,andré brouat toulouse,11,rajoharivelo pépin,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7392,2024-01-12,sète,marquet luc,andré brouat toulouse,13,beriot timo,20,7,9,14,2,-,28,6,29%,18%,31,2,1,17,55%,3
7392,2024-01-12,sète,marquet luc,andré brouat toulouse,14,deveze romain (l),-,-,-,-,-,-,12,-,50%,17%,-,-,-,-,.,-
7392,2024-01-12,sète,marquet luc,andré brouat toulouse,16,martino gauchi matteo,-,-,-,-,-,-,4,-,0%,0%,-,-,-,-,.,-
7392,2024-01-12,sète,marquet luc,andré brouat toulouse,17,zanotti lisandro,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7392,2024-01-12,sète,marquet luc,andré brouat toulouse,18,kreek ardo,9,4,5,13,4,1,2,-,50%,50%,13,-,-,5,38%,3
7392,2024-01-12,sète,marquet luc,andré brouat toulouse,19,rippert tibo,7,2,-4,17,6,-,35,3,46%,11%,23,1,1,6,26%,1
7392,2024-01-12,sète,marquet luc,andré brouat toulouse,,totals,66,20,27,94,20,2,84,11,37%,14%,114,4,4,53,46%,11
