Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
7312,2023-11-07,tourcoing,rougeyron dorian,pierre favre saint-jean d'illac,1,louchart edouard,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7312,2023-11-07,tourcoing,rougeyron dorian,pierre favre saint-jean d'illac,2,loubeyre thibault (l),-,-,-2,-,-,-,17,2,53%,24%,-,-,-,-,.,-
7312,2023-11-07,tourcoing,rougeyron dorian,pierre favre saint-jean d'illac,4,rodrigues wan der maas robson,3,1,-2,3,2,-,8,2,38%,0%,5,-,1,3,60%,-
7312,2023-11-07,tourcoing,rougeyron dorian,pierre favre saint-jean d'illac,5,hristoskov petar valentinov,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7312,2023-11-07,tourcoing,rougeyron dorian,pierre favre saint-jean d'illac,6,lavigne tom,4,1,3,2,-,-,5,1,20%,20%,4,-,-,3,75%,1
7312,2023-11-07,tourcoing,rougeyron dorian,pierre favre saint-jean d'illac,7,giraudo matias,10,4,7,13,3,-,-,-,.,.,3,-,-,2,67%,8
7312,2023-11-07,tourcoing,rougeyron dorian,pierre favre saint-jean d'illac,9,fasteland rune,16,8,14,16,2,-,-,-,.,.,12,-,-,10,83%,6
7312,2023-11-07,tourcoing,rougeyron dorian,pierre favre saint-jean d'illac,11,roehrig simon,9,3,6,23,2,1,5,1,40%,40%,9,-,-,7,78%,1
7312,2023-11-07,tourcoing,rougeyron dorian,pierre favre saint-jean d'illac,14,freimanis gustavs,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7312,2023-11-07,tourcoing,rougeyron dorian,pierre favre saint-jean d'illac,16,koukartsev pablo,24,6,14,15,5,-,-,-,.,.,41,1,4,21,51%,3
7312,2023-11-07,tourcoing,rougeyron dorian,pierre favre saint-jean d'illac,17,barnes ryley,10,5,3,18,2,2,25,1,48%,32%,19,2,2,7,37%,1
7312,2023-11-07,tourcoing,rougeyron dorian,pierre favre saint-jean d'illac,19,quiroga lozada gonzalo,9,6,4,17,4,2,21,-,48%,38%,14,1,-,5,36%,2
7312,2023-11-07,tourcoing,rougeyron dorian,pierre favre saint-jean d'illac,,totals,85,34,47,107,20,5,81,7,46%,28%,107,4,7,58,54%,22
