Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
7701,2024-04-11,toulouse,duflos patrick,stab vélodrome roubaix,1,quinquis ugo,-,-,-,2,-,-,-,-,.,.,-,-,-,-,.,-
7701,2024-04-11,toulouse,duflos patrick,stab vélodrome roubaix,4,michel axel,-,-,-,1,-,-,-,-,.,.,1,-,-,-,0%,-
7701,2024-04-11,toulouse,duflos patrick,stab vélodrome roubaix,7,chirivino  maximiliano,-,-,-,12,-,-,2,-,0%,0%,-,-,-,-,.,-
7701,2024-04-11,toulouse,duflos patrick,stab vélodrome roubaix,8,feral nathan,10,1,4,6,2,-,-,-,.,.,17,2,2,9,53%,1
7701,2024-04-11,toulouse,duflos patrick,stab vélodrome roubaix,9,picard  tom,6,2,-1,11,3,2,14,-,21%,0%,17,-,4,4,24%,-
7701,2024-04-11,toulouse,duflos patrick,stab vélodrome roubaix,10,hervoir maxime,8,2,-5,13,3,-,30,3,60%,20%,23,2,5,7,30%,1
7701,2024-04-11,toulouse,duflos patrick,stab vélodrome roubaix,11,winkelmuller julien,8,1,1,7,2,-,-,-,.,.,16,1,4,8,50%,-
7701,2024-04-11,toulouse,duflos patrick,stab vélodrome roubaix,12,krage florian,11,4,7,8,3,-,1,-,100%,100%,14,1,-,9,64%,2
7701,2024-04-11,toulouse,duflos patrick,stab vélodrome roubaix,15,nack minyem lohan,3,1,-2,17,2,-,-,-,.,.,6,3,-,-,0%,3
7701,2024-04-11,toulouse,duflos patrick,stab vélodrome roubaix,18,santucci facundo (l),-,-,-1,-,-,-,20,1,60%,10%,-,-,-,-,.,-
7701,2024-04-11,toulouse,duflos patrick,stab vélodrome roubaix,19,bouchez alexandre,6,1,1,4,2,-,13,-,46%,8%,16,1,2,6,38%,-
7701,2024-04-11,toulouse,duflos patrick,stab vélodrome roubaix,,totals,52,12,4,81,17,2,80,4,50%,13%,110,10,17,43,39%,7
