Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
7419,2024-02-03,nantes rezé,henno hubert,trocardière rezé,1,de leon guimaraes da silva hugo,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7419,2024-02-03,nantes rezé,henno hubert,trocardière rezé,3,chaboissant anatole,3,-,-,16,3,-,-,-,.,.,3,-,-,3,100%,-
7419,2024-02-03,nantes rezé,henno hubert,trocardière rezé,4,henno mathis,11,3,-1,12,3,-,41,5,49%,39%,21,1,3,10,48%,1
7419,2024-02-03,nantes rezé,henno hubert,trocardière rezé,5,magnin simon,2,1,2,9,-,1,-,-,.,.,2,-,-,1,50%,-
7419,2024-02-03,nantes rezé,henno hubert,trocardière rezé,7,huetz françois,12,4,7,16,3,1,-,-,.,.,13,1,1,7,54%,4
7419,2024-02-03,nantes rezé,henno hubert,trocardière rezé,8,atia maxence (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7419,2024-02-03,nantes rezé,henno hubert,trocardière rezé,11,bayo mamadou,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
7419,2024-02-03,nantes rezé,henno hubert,trocardière rezé,13,lemeur tanguy,-,-,-1,-,-,-,4,1,50%,50%,-,-,-,-,.,-
7419,2024-02-03,nantes rezé,henno hubert,trocardière rezé,14,bonon romain,-,-,-,2,-,-,-,-,.,.,-,-,-,-,.,-
7419,2024-02-03,nantes rezé,henno hubert,trocardière rezé,15,de oliveira montes da silva petrus,3,-,1,8,1,-,-,-,.,.,5,-,1,3,60%,-
7419,2024-02-03,nantes rezé,henno hubert,trocardière rezé,16,neves atu chizoba eduardo,23,8,15,14,2,2,-,-,.,.,37,4,2,17,46%,4
7419,2024-02-03,nantes rezé,henno hubert,trocardière rezé,17,lopez pascual tomas,13,4,7,17,-,2,18,1,39%,33%,19,4,1,10,53%,1
7419,2024-02-03,nantes rezé,henno hubert,trocardière rezé,19,massimino franco (l),-,-,-2,-,-,-,17,2,47%,29%,-,-,-,-,.,-
7419,2024-02-03,nantes rezé,henno hubert,trocardière rezé,,totals,67,20,28,94,12,6,80,9,46%,36%,100,10,8,51,51%,10
