Match ID,Match Date,Stadium,Home Team,Home Points,Guest Team,Guest Points
7287,2023-10-20,robert grenon,tours,3,saint-jean d'illac,2
7289,2023-10-21,louis marty,sète,1,tourcoing,3
7291,2023-10-21,trocardière,nantes rezé,3,montpellier,0
7293,2023-10-21,arena,narbonne,0,paris,3
7288,2023-10-21,espace omnisports,plessis-robinson,0,poitiers,3
7290,2023-10-21,gianmarchi-palmeira,nice,3,toulouse,2
7292,2023-10-21,palestra,chaumont,3,st-nazaire,0
7294,2023-10-27,chaban delmas,montpellier,3,sète,0
7296,2023-10-28,pierre charpy,paris,3,tours,1
7295,2023-10-28,pierre favre,saint-jean d'illac,1,plessis-robinson,3
7297,2023-10-28,palestra,chaumont,3,narbonne,0
7298,2023-10-28,coubertin,st-nazaire,3,nice,1
7299,2023-10-29,andré brouat,toulouse,1,nantes rezé,3
7300,2023-10-29,stab vélodrome,tourcoing,3,poitiers,0
7301,2023-11-03,robert grenon,tours,2,montpellier,3
7307,2023-11-04,pierre charpy,paris,1,toulouse,3
7302,2023-11-04,stab vélodrome,tourcoing,3,plessis-robinson,0
7303,2023-11-04,lawson body,poitiers,1,chaumont,3
7304,2023-11-04,louis marty,sète,3,nice,0
7305,2023-11-04,arena,narbonne,2,saint-jean d'illac,3
7306,2023-11-04,trocardière,nantes rezé,3,st-nazaire,2
7310,2023-11-07,gianmarchi-palmeira,nice,0,poitiers,3
7308,2023-11-07,palestra,chaumont,2,nantes rezé,3
7309,2023-11-07,chaban delmas,montpellier,3,narbonne,0
7311,2023-11-07,espace omnisports,plessis-robinson,2,sète,3
7312,2023-11-07,pierre favre,saint-jean d'illac,1,tourcoing,3
7313,2023-11-07,andré brouat,toulouse,3,tours,1
7314,2023-11-07,coubertin,st-nazaire,3,paris,1
7315,2023-11-10,robert grenon,tours,0,chaumont,3
7316,2023-11-11,espace omnisports,plessis-robinson,3,st-nazaire,0
7317,2023-11-11,pierre favre,saint-jean d'illac,0,montpellier,3
7318,2023-11-11,lawson body,poitiers,0,toulouse,3
7319,2023-11-11,louis marty,sète,2,paris,3
7321,2023-11-11,arena,narbonne,0,tourcoing,3
7320,2023-11-11,trocardière,nantes rezé,3,nice,0
7323,2023-11-14,gianmarchi-palmeira,nice,2,chaumont,3
7322,2023-11-14,trocardière,nantes rezé,3,saint-jean d'illac,0
7324,2023-11-14,pierre charpy,paris,0,tourcoing,3
7325,2023-11-14,lawson body,poitiers,0,sète,3
7326,2023-11-14,andré brouat,toulouse,3,narbonne,0
7327,2023-11-14,coubertin,st-nazaire,3,tours,0
7328,2023-11-15,chaban delmas,montpellier,3,plessis-robinson,1
7329,2023-11-17,pierre charpy,paris,1,nantes rezé,3
7330,2023-11-18,robert grenon,tours,3,poitiers,1
7331,2023-11-18,louis marty,sète,1,toulouse,3
7333,2023-11-18,arena,narbonne,1,plessis-robinson,3
7334,2023-11-18,chaban delmas,montpellier,1,st-nazaire,3
7332,2023-11-18,palestra,chaumont,3,saint-jean d'illac,0
7335,2023-11-19,stab vélodrome,tourcoing,1,nice,3
7336,2023-11-24,andré brouat,toulouse,3,tourcoing,1
7337,2023-11-25,pierre favre,saint-jean d'illac,0,sète,3
7338,2023-11-25,espace omnisports,plessis-robinson,0,chaumont,3
7342,2023-11-25,gianmarchi-palmeira,nice,0,montpellier,3
7339,2023-11-25,lawson body,poitiers,3,paris,2
7341,2023-11-25,coubertin,st-nazaire,3,narbonne,0
7340,2023-11-26,trocardière,nantes rezé,3,tours,2
7348,2023-12-01,coubertin,st-nazaire,3,toulouse,0
7349,2023-12-02,pierre charpy,paris,0,saint-jean d'illac,3
7347,2023-12-02,gianmarchi-palmeira,nice,1,plessis-robinson,3
7343,2023-12-02,louis marty,sète,2,nantes rezé,3
7346,2023-12-02,chaban delmas,montpellier,3,poitiers,1
7344,2023-12-02,robert grenon,tours,3,narbonne,0
7345,2023-12-02,palestra,chaumont,2,tourcoing,3
7351,2023-12-05,arena,narbonne,1,sète,3
7350,2023-12-05,stab vélodrome,tourcoing,3,nantes rezé,2
7352,2023-12-05,pierre favre,saint-jean d'illac,2,nice,3
7353,2023-12-05,andré brouat,toulouse,1,montpellier,3
7354,2023-12-05,palestra,chaumont,3,paris,0
7355,2023-12-05,espace omnisports,plessis-robinson,0,tours,3
7356,2023-12-05,lawson body,poitiers,3,st-nazaire,2
7363,2023-12-08,pierre charpy,paris,3,plessis-robinson,2
7357,2023-12-09,andré brouat,toulouse,3,saint-jean d'illac,0
7358,2023-12-09,robert grenon,tours,3,tourcoing,0
7359,2023-12-09,arena,narbonne,3,nice,1
7361,2023-12-09,chaban delmas,montpellier,1,chaumont,3
7360,2023-12-09,coubertin,st-nazaire,3,sète,1
7362,2023-12-09,trocardière,nantes rezé,3,poitiers,2
7370,2023-12-15,chaban delmas,montpellier,2,paris,3
7364,2023-12-16,pierre favre,saint-jean d'illac,1,poitiers,3
7365,2023-12-16,espace omnisports,plessis-robinson,1,toulouse,3
7366,2023-12-16,salle maréchal,tourcoing,3,st-nazaire,2
7368,2023-12-16,gianmarchi-palmeira,nice,2,tours,3
7367,2023-12-16,louis marty,sète,0,chaumont,3
7369,2023-12-16,arena,narbonne,3,nantes rezé,1
