Match ID,Match Date,Stadium,Home Team,Home Points,Guest Team,Guest Points
6332,2022-09-30,chaban delmas,montpellier,1,st-nazaire,3
6338,2022-10-01,gianmarchi-palmeira,nice,2,tours,3
6333,2022-10-01,lawson body,poitiers,1,narbonne,3
6334,2022-10-01,louis marty,sète,2,tourcoing,3
6335,2022-10-01,vanpoulle,cambrai,3,toulouse,1
6336,2022-10-01,palestra,chaumont,3,plessis-robinson,0
6337,2022-10-01,trocardière,nantes rezé,3,paris,0
6339,2022-10-06,arena,narbonne,2,tourcoing,3
6340,2022-10-06,louis marty,sète,3,nantes rezé,1
6341,2022-10-07,robert grenon,tours,1,chaumont,3
6344,2022-10-08,andré brouat,toulouse,3,nice,1
6342,2022-10-08,espace omnisports,plessis-robinson,3,cambrai,1
6343,2022-10-08,coubertin,st-nazaire,3,poitiers,0
6345,2022-10-08,pierre charpy,paris,3,montpellier,0
6346,2022-10-14,chaban delmas,montpellier,1,tours,3
6347,2022-10-15,gianmarchi-palmeira,nice,1,nantes rezé,3
6351,2022-10-15,salle maréchal,tourcoing,3,chaumont,2
6348,2022-10-15,lawson body,poitiers,3,toulouse,0
6349,2022-10-15,vanpoulle,cambrai,3,paris,0
6350,2022-10-15,coubertin,st-nazaire,3,sète,0
6352,2022-10-16,arena,narbonne,3,plessis-robinson,0
6353,2022-10-20,trocardière,nantes rezé,3,cambrai,2
6354,2022-10-20,andré brouat,toulouse,3,sète,2
6355,2022-10-20,robert grenon,tours,3,st-nazaire,1
6356,2022-10-21,palestra,chaumont,3,narbonne,1
6357,2022-10-22,gianmarchi-palmeira,nice,1,montpellier,3
6358,2022-10-22,espace omnisports,plessis-robinson,1,paris,3
6359,2022-10-23,stab vélodrome,tourcoing,3,poitiers,1
6360,2022-10-27,louis marty,sète,3,nice,2
6361,2022-10-27,coubertin,st-nazaire,3,toulouse,2
6362,2022-10-28,pierre charpy,paris,2,tourcoing,3
6366,2022-10-29,arena,narbonne,0,tours,3
6363,2022-10-29,lawson body,poitiers,2,nantes rezé,3
6364,2022-10-29,chaban delmas,montpellier,3,plessis-robinson,0
6365,2022-10-29,vanpoulle,cambrai,1,chaumont,3
6370,2022-11-02,trocardière,nantes rezé,1,montpellier,3
6367,2022-11-02,espace omnisports,plessis-robinson,3,poitiers,2
6368,2022-11-02,andré brouat,toulouse,1,narbonne,3
6369,2022-11-02,vanpoulle,cambrai,1,tourcoing,3
6371,2022-11-02,gianmarchi-palmeira,nice,3,paris,2
6372,2022-11-02,palestra,chaumont,3,st-nazaire,1
6373,2022-11-02,robert grenon,tours,3,sète,0
6375,2022-11-04,lawson body,poitiers,0,montpellier,3
6374,2022-11-05,pierre charpy,paris,1,chaumont,3
6377,2022-11-05,andré brouat,toulouse,0,tours,3
6376,2022-11-05,louis marty,sète,3,cambrai,1
