Match ID,Match Date,Stadium,Home Team,Home Points,Guest Team,Guest Points
4754,2020-10-02,louis marty,sète,0,chaumont,3
4756,2020-10-02,pierre dumortier,tourcoing,3,cambrai,0
4757,2020-10-03,palais des victoires,cannes,3,tours,2
4759,2020-10-03,u palatinu,ajaccio,2,poitiers,3
4753,2020-10-13,andré brouat,toulouse,3,montpellier,2
4758,2020-10-20,arthur dugast,nantes rezé,1,paris,3
4755,2020-12-01,gianmarchi-palmeira,nice,0,narbonne,3
4761,2020-10-06,jean masson,chaumont,3,ajaccio,1
4763,2020-10-06,arena,narbonne,1,cannes,3
4764,2020-10-06,pierre charpy,paris,2,tourcoing,3
4765,2020-10-06,lawson body,poitiers,3,sète,2
4766,2020-10-06,robert grenon,tours,3,nantes rezé,2
4762,2020-10-20,pierre de coubertin,montpellier,3,nice,1
4760,2020-11-11,vanpoulle,cambrai,2,toulouse,3
4770,2020-10-10,palais des victoires,cannes,3,montpellier,0
4767,2020-10-10,andré brouat,toulouse,0,tours,3
4768,2020-10-10,louis marty,sète,3,paris,2
4771,2020-10-10,arthur dugast,nantes rezé,1,tourcoing,3
4772,2020-10-10,u palatinu,ajaccio,0,cambrai,3
4773,2020-10-10,jean masson,chaumont,2,narbonne,3
4769,2020-10-27,gianmarchi-palmeira,nice,3,poitiers,2
4778,2020-10-16,lawson body,poitiers,3,chaumont,1
4775,2020-10-16,robert grenon,tours,3,nice,1
4776,2020-10-16,pierre dumortier,tourcoing,3,ajaccio,1
4777,2020-10-16,andré brouat,toulouse,3,nantes rezé,1
4780,2020-10-16,arena,narbonne,3,sète,0
4774,2020-10-17,pierre de coubertin,montpellier,3,paris,2
4779,2020-10-17,vanpoulle,cambrai,3,cannes,2
4786,2020-10-23,pierre charpy,paris,0,narbonne,3
4781,2020-10-23,louis marty,sète,3,cambrai,2
4783,2020-10-23,palais des victoires,cannes,0,tourcoing,3
4787,2020-10-24,u palatinu,ajaccio,1,montpellier,3
4785,2020-10-24,arthur dugast,nantes rezé,3,chaumont,2
4788,2020-10-30,andré brouat,toulouse,3,ajaccio,2
4791,2020-10-30,arthur dugast,nantes rezé,2,cannes,3
4794,2020-10-31,jean masson,chaumont,3,nice,1
