Match ID,Match Date,Stadium,Home Team,Home Points,Guest Team,Guest Points
5920,2022-04-30,vanpoulle,cambrai,3,nantes rezé,2
5921,2022-04-30,andré brouat,toulouse,3,poitiers,0
5922,2022-05-04,palais des victoires,cannes ,1,poitiers,3
5923,2022-05-04,arthur dugast,nantes rezé,1,toulouse,3
5924,2022-05-04,espace omnisports,plessis-robinson,1,cambrai,3
5925,2022-05-07,palais des victoires,cannes ,2,cambrai,3
5927,2022-05-07,lawson body,poitiers,3,nantes rezé,1
5926,2022-05-07,andré brouat,toulouse,3,plessis-robinson,2
5928,2022-05-11,palais des victoires,cannes ,2,nantes rezé,3
5929,2022-05-11,espace omnisports,plessis-robinson,1,poitiers,3
5930,2022-05-11,vanpoulle,cambrai,3,toulouse,0
5931,2022-05-14,andré brouat,toulouse,3,cannes ,0
5932,2022-05-14,lawson body,poitiers,3,cambrai,1
5933,2022-05-14,arthur dugast,nantes rezé,0,plessis-robinson,3
