Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
4761,2020-10-06,chaumont,prandi silvano,jean masson chaumont,2,mergarejo osniel,15,8,5,14,2,1,23,5,43%,30%,28,-,3,12,43%,2
4761,2020-10-06,chaumont,prandi silvano,jean masson chaumont,3,marshall steven,5,4,-4,11,2,1,21,-,67%,52%,19,2,5,3,16%,1
4761,2020-10-06,chaumont,prandi silvano,jean masson chaumont,4,jeanlys samuel,18,5,12,16,1,1,-,-,.,.,29,4,1,15,52%,2
4761,2020-10-06,chaumont,prandi silvano,jean masson chaumont,5,laumon maxime,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4761,2020-10-06,chaumont,prandi silvano,jean masson chaumont,6,corre raphaël,4,2,3,19,1,-,-,-,.,.,4,-,-,2,50%,2
4761,2020-10-06,chaumont,prandi silvano,jean masson chaumont,7,bouleau pierre (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4761,2020-10-06,chaumont,prandi silvano,jean masson chaumont,8,fernandez jorge,11,2,6,20,4,1,1,-,100%,100%,14,1,-,9,64%,1
4761,2020-10-06,chaumont,prandi silvano,jean masson chaumont,10,mc donnell daniel,-,-,-,3,-,-,-,-,.,.,-,-,-,-,.,-
4761,2020-10-06,chaumont,prandi silvano,jean masson chaumont,12,repak martin,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4761,2020-10-06,chaumont,prandi silvano,jean masson chaumont,17,alonso roamy,13,3,8,11,2,1,-,-,.,.,13,1,2,7,54%,5
4761,2020-10-06,chaumont,prandi silvano,jean masson chaumont,18,petrov georgi,1,1,-1,4,-,1,3,-,67%,33%,4,1,1,-,0%,-
4761,2020-10-06,chaumont,prandi silvano,jean masson chaumont,19,massimino franco (l),-,-,-,-,-,-,21,-,90%,71%,-,-,-,-,.,-
4761,2020-10-06,chaumont,prandi silvano,jean masson chaumont,,totals,67,25,29,98,12,6,69,5,67%,51%,111,9,12,48,43%,13
