Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
4790,2021-01-20,tours,henno hubert,robert grenon tours,1,el graoui zouheir,9,3,5,8,2,1,21,-,52%,38%,18,2,-,8,44%,-
4790,2021-01-20,tours,henno hubert,robert grenon tours,2,lomba gilles,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4790,2021-01-20,tours,henno hubert,robert grenon tours,5,nascimento dos santos leandro,10,2,6,15,3,1,2,-,50%,0%,9,-,1,7,78%,2
4790,2021-01-20,tours,henno hubert,robert grenon tours,6,pelvet aymeric,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4790,2021-01-20,tours,henno hubert,robert grenon tours,8,chauvin gary,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4790,2021-01-20,tours,henno hubert,robert grenon tours,10,ventura machado pablo natan,1,1,1,3,-,1,-,-,.,.,-,-,-,-,.,-
4790,2021-01-20,tours,henno hubert,robert grenon tours,11,toledo pierre,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4790,2021-01-20,tours,henno hubert,robert grenon tours,12,bruckert thiebault,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4790,2021-01-20,tours,henno hubert,robert grenon tours,13,lemeur tanguy (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4790,2021-01-20,tours,henno hubert,robert grenon tours,14,wounembaina nathan,12,2,5,12,1,2,11,1,64%,45%,19,4,1,10,53%,-
4790,2021-01-20,tours,henno hubert,robert grenon tours,15,de oliveira montes da silva petrus,9,2,7,7,1,-,3,-,67%,67%,14,1,-,9,64%,-
4790,2021-01-20,tours,henno hubert,robert grenon tours,16,rossard nicolas (l),-,-,-1,-,-,-,15,1,67%,20%,-,-,-,-,.,-
4790,2021-01-20,tours,henno hubert,robert grenon tours,17,coric zeljko,2,2,-1,15,3,1,1,-,0%,0%,2,-,-,-,0%,1
4790,2021-01-20,tours,henno hubert,robert grenon tours,19,udrys artur,14,8,12,14,2,2,-,-,.,.,17,-,-,9,53%,3
4790,2021-01-20,tours,henno hubert,robert grenon tours,,totals,57,20,34,74,12,8,53,2,58%,34%,79,7,2,43,54%,6
