Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
5285,2021-04-03,chaumont,prandi silvano,robert grenon tours,2,mergarejo osniel,18,6,5,23,6,2,35,2,31%,14%,41,3,2,14,34%,2
5285,2021-04-03,chaumont,prandi silvano,robert grenon tours,3,marshall steven,10,4,8,8,1,-,12,1,50%,25%,13,-,-,9,69%,1
5285,2021-04-03,chaumont,prandi silvano,robert grenon tours,4,jeanlys samuel,2,-,1,2,1,-,-,-,.,.,3,-,-,2,67%,-
5285,2021-04-03,chaumont,prandi silvano,robert grenon tours,5,laumon maxime,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5285,2021-04-03,chaumont,prandi silvano,robert grenon tours,6,corre raphaël,5,3,-1,15,6,2,-,-,.,.,-,-,-,-,.,3
5285,2021-04-03,chaumont,prandi silvano,robert grenon tours,7,bouleau pierre (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5285,2021-04-03,chaumont,prandi silvano,robert grenon tours,8,fernandez jorge,1,1,-2,6,2,-,-,-,.,.,2,1,-,-,0%,1
5285,2021-04-03,chaumont,prandi silvano,robert grenon tours,9,herrera jaime jesus,26,5,5,18,8,-,-,-,.,.,54,6,7,26,48%,-
5285,2021-04-03,chaumont,prandi silvano,robert grenon tours,10,mc donnell daniel,8,2,6,21,2,-,1,-,100%,0%,8,-,-,6,75%,2
5285,2021-04-03,chaumont,prandi silvano,robert grenon tours,12,repak martin,-,-,-,2,-,-,-,-,.,.,-,-,-,-,.,-
5285,2021-04-03,chaumont,prandi silvano,robert grenon tours,17,alonso roamy,6,3,-,14,2,-,1,1,0%,0%,9,1,2,5,56%,1
5285,2021-04-03,chaumont,prandi silvano,robert grenon tours,18,petrov georgi,4,1,2,7,1,-,20,1,20%,0%,4,-,-,4,100%,-
5285,2021-04-03,chaumont,prandi silvano,robert grenon tours,19,massimino franco (l),-,-,-1,-,-,-,24,1,46%,29%,-,-,-,-,.,-
5285,2021-04-03,chaumont,prandi silvano,robert grenon tours,,totals,80,25,23,116,29,4,93,6,35%,16%,134,11,11,66,49%,10
