Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
4834,2020-12-08,paris,rougeyron dorian,pierre charpy paris 13,1,hernan guillermo,1,1,-,22,-,1,-,-,.,.,3,1,-,-,0%,-
4834,2020-12-08,paris,rougeyron dorian,pierre charpy paris 13,2,marty joshua,-,-,-2,7,2,-,-,-,.,.,-,-,-,-,.,-
4834,2020-12-08,paris,rougeyron dorian,pierre charpy paris 13,3,fukuzawa tatsuya,9,6,-1,9,4,-,25,2,36%,8%,20,1,3,8,40%,1
4834,2020-12-08,paris,rougeyron dorian,pierre charpy paris 13,5,huetz françois,1,-,-1,2,1,-,1,-,100%,0%,2,-,1,1,50%,-
4834,2020-12-08,paris,rougeyron dorian,pierre charpy paris 13,6,lawani ibrahim,23,6,12,16,1,1,1,-,100%,100%,47,4,6,19,40%,3
4834,2020-12-08,paris,rougeyron dorian,pierre charpy paris 13,8,neraudau robin,1,1,1,1,-,-,-,-,.,.,1,-,-,1,100%,-
4834,2020-12-08,paris,rougeyron dorian,pierre charpy paris 13,9,truhtchev axel,1,-,-4,3,1,-,8,1,50%,13%,4,3,-,1,25%,-
4834,2020-12-08,paris,rougeyron dorian,pierre charpy paris 13,10,martins sene luiz,23,4,18,16,4,-,2,-,0%,0%,20,1,-,16,80%,7
4834,2020-12-08,paris,rougeyron dorian,pierre charpy paris 13,11,kujundzic miran,20,7,12,25,5,2,32,1,50%,22%,30,1,1,16,53%,2
4834,2020-12-08,paris,rougeyron dorian,pierre charpy paris 13,14,diez benjamin (l),-,-,-3,-,-,-,27,3,59%,30%,-,-,-,-,.,-
4834,2020-12-08,paris,rougeyron dorian,pierre charpy paris 13,17,gotsev svetoslav,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4834,2020-12-08,paris,rougeyron dorian,pierre charpy paris 13,19,prevert  gildas,8,4,3,13,4,1,1,-,0%,0%,8,1,-,5,63%,2
4834,2020-12-08,paris,rougeyron dorian,pierre charpy paris 13,,totals,87,29,35,114,22,5,97,7,48%,20%,135,12,11,67,50%,15
