Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
4817,2020-11-28,cannes,marquet luc,palais des victoires cannes la bocca,2,gruvaeus daniel,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4817,2020-11-28,cannes,marquet luc,palais des victoires cannes la bocca,5,liot tom,-,-,-1,1,1,-,-,-,.,.,-,-,-,-,.,-
4817,2020-11-28,cannes,marquet luc,palais des victoires cannes la bocca,6,aciobanitei robert-adrian,9,4,4,22,2,-,48,1,48%,19%,17,2,-,8,47%,1
4817,2020-11-28,cannes,marquet luc,palais des victoires cannes la bocca,7,klyamar oleksiy,11,5,7,11,1,1,12,-,58%,33%,23,1,2,10,43%,-
4817,2020-11-28,cannes,marquet luc,palais des victoires cannes la bocca,8,gelinski danilo,2,2,-,19,1,1,-,-,.,.,2,1,-,1,50%,-
4817,2020-11-28,cannes,marquet luc,palais des victoires cannes la bocca,9,koncilja danijel,10,3,6,12,1,1,-,-,.,.,16,3,-,7,44%,2
4817,2020-11-28,cannes,marquet luc,palais des victoires cannes la bocca,11,annicette wyllan,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4817,2020-11-28,cannes,marquet luc,palais des victoires cannes la bocca,13,averill taylor,21,11,14,18,3,2,-,-,.,.,15,3,1,10,67%,9
4817,2020-11-28,cannes,marquet luc,palais des victoires cannes la bocca,14,mouiel  jérémie (l),-,-,-,-,-,-,12,-,42%,17%,-,-,-,-,.,-
4817,2020-11-28,cannes,marquet luc,palais des victoires cannes la bocca,16,rodriguez kévin,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4817,2020-11-28,cannes,marquet luc,palais des victoires cannes la bocca,18,williams lincoln,20,4,7,16,5,1,-,-,.,.,42,4,4,18,43%,1
4817,2020-11-28,cannes,marquet luc,palais des victoires cannes la bocca,19,lacassie florian,-,-,-,-,-,-,3,-,0%,0%,-,-,-,-,.,-
4817,2020-11-28,cannes,marquet luc,palais des victoires cannes la bocca,,totals,73,29,37,99,14,6,75,1,47%,20%,115,14,7,54,47%,13
