Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
4905,2021-02-27,chaumont,prandi silvano,jean masson chaumont,2,mergarejo osniel,12,5,4,22,4,2,30,2,43%,23%,19,1,1,8,42%,2
4905,2021-02-27,chaumont,prandi silvano,jean masson chaumont,3,marshall steven,1,-,-2,3,-,-,5,3,20%,20%,4,-,-,1,25%,-
4905,2021-02-27,chaumont,prandi silvano,jean masson chaumont,4,jeanlys samuel,-,-,-,2,-,-,-,-,.,.,1,-,-,-,0%,-
4905,2021-02-27,chaumont,prandi silvano,jean masson chaumont,5,laumon maxime,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4905,2021-02-27,chaumont,prandi silvano,jean masson chaumont,6,corre raphaël,5,3,-,14,5,2,-,-,.,.,3,-,-,2,67%,1
4905,2021-02-27,chaumont,prandi silvano,jean masson chaumont,7,bouleau pierre (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4905,2021-02-27,chaumont,prandi silvano,jean masson chaumont,8,fernandez jorge,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4905,2021-02-27,chaumont,prandi silvano,jean masson chaumont,9,herrera jaime jesus,12,4,5,15,3,3,1,-,0%,0%,18,2,2,9,50%,-
4905,2021-02-27,chaumont,prandi silvano,jean masson chaumont,10,mc donnell daniel,14,6,10,14,3,3,1,1,0%,0%,9,-,-,8,89%,3
4905,2021-02-27,chaumont,prandi silvano,jean masson chaumont,12,repak martin,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4905,2021-02-27,chaumont,prandi silvano,jean masson chaumont,17,alonso roamy,10,4,7,11,2,-,-,-,.,.,10,-,1,7,70%,3
4905,2021-02-27,chaumont,prandi silvano,jean masson chaumont,18,petrov georgi,8,4,4,15,3,-,8,1,50%,38%,12,-,-,8,67%,-
4905,2021-02-27,chaumont,prandi silvano,jean masson chaumont,19,massimino franco (l),-,-,-,-,-,-,12,-,75%,42%,-,-,-,-,.,-
4905,2021-02-27,chaumont,prandi silvano,jean masson chaumont,,totals,62,26,28,96,20,10,57,7,47%,28%,76,3,4,43,57%,9
