Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
4893,2021-02-19,nice,peris ratko,gianmarchi-palmeira nice,1,sinoski daulton,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4893,2021-02-19,nice,peris ratko,gianmarchi-palmeira nice,3,clere jérôme,10,1,1,19,2,-,26,3,42%,15%,18,-,4,9,50%,1
4893,2021-02-19,nice,peris ratko,gianmarchi-palmeira nice,4,cuk gojko,15,3,13,15,1,-,2,1,0%,0%,17,-,-,10,59%,5
4893,2021-02-19,nice,peris ratko,gianmarchi-palmeira nice,5,salerno hector,19,6,12,16,1,1,37,2,57%,11%,34,3,1,12,35%,6
4893,2021-02-19,nice,peris ratko,gianmarchi-palmeira nice,7,ribbens jelle (l),-,-,-1,-,-,-,26,1,73%,46%,-,-,-,-,.,-
4893,2021-02-19,nice,peris ratko,gianmarchi-palmeira nice,8,mouezy matthieu,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4893,2021-02-19,nice,peris ratko,gianmarchi-palmeira nice,9,dukic marin,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4893,2021-02-19,nice,peris ratko,gianmarchi-palmeira nice,10,le thuc william (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4893,2021-02-19,nice,peris ratko,gianmarchi-palmeira nice,11,keel markkus,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4893,2021-02-19,nice,peris ratko,gianmarchi-palmeira nice,12,ah kong rodney-ken,12,3,7,21,1,-,1,1,0%,0%,15,3,-,10,67%,2
4893,2021-02-19,nice,peris ratko,gianmarchi-palmeira nice,13,andric leo,22,10,7,26,7,7,-,-,.,.,40,2,6,14,35%,1
4893,2021-02-19,nice,peris ratko,gianmarchi-palmeira nice,14,giraudo matias,5,4,-,20,5,2,-,-,.,.,3,-,-,-,0%,3
4893,2021-02-19,nice,peris ratko,gianmarchi-palmeira nice,20,terzic milos,-,-,-,3,-,-,-,-,.,.,-,-,-,-,.,-
4893,2021-02-19,nice,peris ratko,gianmarchi-palmeira nice,,totals,83,27,39,120,17,10,92,8,55%,22%,127,8,11,55,43%,18
