Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
4792,2021-01-12,montpellier,lecat olivier,chaban delmas castelnau-le-lez,1,gonzalez panton javier,-,-,-,10,-,-,-,-,.,.,1,-,-,-,0%,-
4792,2021-01-12,montpellier,lecat olivier,chaban delmas castelnau-le-lez,2,vol mathieu,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4792,2021-01-12,montpellier,lecat olivier,chaban delmas castelnau-le-lez,3,gill thomas,-,-,-1,2,1,-,-,-,.,.,-,-,-,-,.,-
4792,2021-01-12,montpellier,lecat olivier,chaban delmas castelnau-le-lez,4,kaba kevin,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4792,2021-01-12,montpellier,lecat olivier,chaban delmas castelnau-le-lez,6,demyanenko danny,11,4,9,16,1,-,-,-,.,.,7,-,1,5,71%,6
4792,2021-01-12,montpellier,lecat olivier,chaban delmas castelnau-le-lez,8,panou joachim,5,2,3,7,1,1,11,-,18%,9%,10,1,-,3,30%,1
4792,2021-01-12,montpellier,lecat olivier,chaban delmas castelnau-le-lez,9,mendez nicolas,4,1,1,8,2,-,11,-,82%,45%,11,-,1,3,27%,1
4792,2021-01-12,montpellier,lecat olivier,chaban delmas castelnau-le-lez,10,sclater ryan,20,4,14,12,4,-,-,-,.,.,33,2,-,20,61%,-
4792,2021-01-12,montpellier,lecat olivier,chaban delmas castelnau-le-lez,13,palacios ezequiel,9,1,1,11,2,-,23,3,52%,39%,23,2,1,7,30%,2
4792,2021-01-12,montpellier,lecat olivier,chaban delmas castelnau-le-lez,14,le goff nicolas,10,5,8,15,1,1,1,-,0%,0%,8,1,-,4,50%,5
4792,2021-01-12,montpellier,lecat olivier,chaban delmas castelnau-le-lez,16,gonzalez alexis (l),-,-,-,-,-,-,16,-,75%,44%,-,-,-,-,.,-
4792,2021-01-12,montpellier,lecat olivier,chaban delmas castelnau-le-lez,20,lecat julien,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4792,2021-01-12,montpellier,lecat olivier,chaban delmas castelnau-le-lez,,totals,59,17,35,81,12,2,62,3,56%,35%,93,6,3,42,45%,15
