Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
4889,2021-02-16,cambrai,denys gabriel,palais des victoires cannes la bocca,1,kroiss philipp (l),-,-,-1,-,-,-,16,1,50%,38%,-,-,-,-,.,-
4889,2021-02-16,cambrai,denys gabriel,palais des victoires cannes la bocca,2,bazin yannick,1,1,-1,14,2,-,-,-,.,.,2,-,-,1,50%,-
4889,2021-02-16,cambrai,denys gabriel,palais des victoires cannes la bocca,3,osoria rodriguez livan,8,1,5,11,2,-,-,-,.,.,8,1,-,6,75%,2
4889,2021-02-16,cambrai,denys gabriel,palais des victoires cannes la bocca,4,takaniko boris,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4889,2021-02-16,cambrai,denys gabriel,palais des victoires cannes la bocca,5,pire mathias,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4889,2021-02-16,cambrai,denys gabriel,palais des victoires cannes la bocca,6,dutra oliveira yago,11,2,3,13,3,-,19,1,68%,37%,18,2,2,10,56%,1
4889,2021-02-16,cambrai,denys gabriel,palais des victoires cannes la bocca,7,villard paul,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4889,2021-02-16,cambrai,denys gabriel,palais des victoires cannes la bocca,9,quiroga gonzalo,7,3,4,9,-,-,16,1,50%,25%,13,1,1,7,54%,-
4889,2021-02-16,cambrai,denys gabriel,palais des victoires cannes la bocca,10,marshman michael,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4889,2021-02-16,cambrai,denys gabriel,palais des victoires cannes la bocca,12,cagliari daniel,20,10,13,18,2,5,-,-,.,.,21,2,3,14,67%,1
4889,2021-02-16,cambrai,denys gabriel,palais des victoires cannes la bocca,17,jecmenica ivan,10,4,6,8,1,1,-,-,.,.,11,3,-,7,64%,2
4889,2021-02-16,cambrai,denys gabriel,palais des victoires cannes la bocca,,totals,57,21,29,73,10,6,51,3,57%,33%,73,9,6,45,62%,6
