Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
4904,2021-02-27,paris,rougeyron dorian,u palatinu ajaccio,1,hernan guillermo,1,1,-,12,1,-,1,-,0%,0%,-,-,-,-,.,1
4904,2021-02-27,paris,rougeyron dorian,u palatinu ajaccio,2,marty joshua,-,-,-,3,-,-,-,-,.,.,-,-,-,-,.,-
4904,2021-02-27,paris,rougeyron dorian,u palatinu ajaccio,3,fukuzawa tatsuya,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4904,2021-02-27,paris,rougeyron dorian,u palatinu ajaccio,8,neraudau robin,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
4904,2021-02-27,paris,rougeyron dorian,u palatinu ajaccio,9,truhtchev axel,7,3,4,11,3,-,18,-,33%,17%,14,-,-,6,43%,1
4904,2021-02-27,paris,rougeyron dorian,u palatinu ajaccio,10,martins sene luiz,9,4,7,8,-,-,1,-,100%,0%,12,-,2,6,50%,3
4904,2021-02-27,paris,rougeyron dorian,u palatinu ajaccio,11,kujundzic miran,15,5,8,15,2,2,21,2,10%,5%,29,-,3,13,45%,-
4904,2021-02-27,paris,rougeyron dorian,u palatinu ajaccio,12,toure ibrahim,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4904,2021-02-27,paris,rougeyron dorian,u palatinu ajaccio,14,diez benjamin (l),-,-,-2,-,-,-,16,2,56%,50%,-,-,-,-,.,-
4904,2021-02-27,paris,rougeyron dorian,u palatinu ajaccio,15,rouzier antonin,15,4,6,12,3,1,-,-,.,.,32,1,5,14,44%,-
4904,2021-02-27,paris,rougeyron dorian,u palatinu ajaccio,19,prevert  gildas,10,6,6,14,3,3,-,-,.,.,6,-,1,4,67%,3
4904,2021-02-27,paris,rougeyron dorian,u palatinu ajaccio,,totals,57,23,29,76,12,6,57,4,32%,21%,93,1,11,43,46%,8
