Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
4878,2021-02-06,poitiers,donat brice,robert grenon tours,1,gutierrez suarez josé miguel,6,4,2,4,2,-,16,-,44%,19%,7,1,1,4,57%,2
4878,2021-02-06,poitiers,donat brice,robert grenon tours,2,pajenk alen,13,5,10,23,1,4,4,-,50%,25%,13,2,-,9,69%,-
4878,2021-02-06,poitiers,donat brice,robert grenon tours,4,ramon luca (l),-,-,-1,-,-,-,24,1,38%,13%,-,-,-,-,.,-
4878,2021-02-06,poitiers,donat brice,robert grenon tours,5,helfer thomas,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4878,2021-02-06,poitiers,donat brice,robert grenon tours,6,magalhaes de jesus gladstone,5,2,-1,17,6,-,1,-,0%,0%,6,-,-,3,50%,2
4878,2021-02-06,poitiers,donat brice,robert grenon tours,8,ngapeth swan,2,1,-3,10,3,1,17,1,35%,12%,5,1,-,1,20%,-
4878,2021-02-06,poitiers,donat brice,robert grenon tours,9,petreas georgios,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4878,2021-02-06,poitiers,donat brice,robert grenon tours,10,cannessant tom (l),-,-,-,-,-,-,4,-,0%,0%,-,-,-,-,.,-
4878,2021-02-06,poitiers,donat brice,robert grenon tours,12,zopie marc,1,-,1,-,-,-,-,-,.,.,3,-,-,1,33%,-
4878,2021-02-06,poitiers,donat brice,robert grenon tours,13,ma'a micah,3,-,1,16,2,-,-,-,.,.,4,-,-,2,50%,1
4878,2021-02-06,poitiers,donat brice,robert grenon tours,15,neves atu chizoba eduardo,29,5,22,13,1,-,-,-,.,.,46,2,4,27,59%,2
4878,2021-02-06,poitiers,donat brice,robert grenon tours,17,raffaelli giacomo,15,5,7,13,-,1,19,1,37%,16%,25,3,4,12,48%,2
4878,2021-02-06,poitiers,donat brice,robert grenon tours,18,sotola marek,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4878,2021-02-06,poitiers,donat brice,robert grenon tours,,totals,74,22,38,96,15,6,85,3,36%,14%,109,9,9,59,54%,9
