Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
4886,2021-02-17,toulouse,sapinart stéphane,andré brouat toulouse,3,burel nicolas,6,4,4,16,1,-,-,-,.,.,10,1,-,4,40%,2
4886,2021-02-17,toulouse,sapinart stéphane,andré brouat toulouse,4,jorna gijs,11,2,5,22,2,-,28,2,68%,50%,31,1,1,9,29%,2
4886,2021-02-17,toulouse,sapinart stéphane,andré brouat toulouse,5,soldner lucas,1,-,-1,4,2,-,-,-,.,.,-,-,-,-,.,1
4886,2021-02-17,toulouse,sapinart stéphane,andré brouat toulouse,6,doumbia abdel-aziz,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
4886,2021-02-17,toulouse,sapinart stéphane,andré brouat toulouse,7,boissinot axel (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4886,2021-02-17,toulouse,sapinart stéphane,andré brouat toulouse,8,derouillon pierre,13,5,-,15,7,-,36,2,44%,28%,32,1,3,12,38%,1
4886,2021-02-17,toulouse,sapinart stéphane,andré brouat toulouse,9,jovovic nikola,2,1,1,9,-,-,-,-,.,.,3,-,1,1,33%,1
4886,2021-02-17,toulouse,sapinart stéphane,andré brouat toulouse,10,anegay yousri,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4886,2021-02-17,toulouse,sapinart stéphane,andré brouat toulouse,12,madsen oskar,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4886,2021-02-17,toulouse,sapinart stéphane,andré brouat toulouse,14,larrieu cyril,19,9,8,13,3,-,1,-,100%,0%,42,3,5,15,36%,4
4886,2021-02-17,toulouse,sapinart stéphane,andré brouat toulouse,17,parkinson michael,11,4,5,10,3,-,-,-,.,.,14,2,1,7,50%,4
4886,2021-02-17,toulouse,sapinart stéphane,andré brouat toulouse,18,assani-vignau titouan,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4886,2021-02-17,toulouse,sapinart stéphane,andré brouat toulouse,19,closter sebastian (l),-,-,-2,-,-,-,17,2,65%,47%,-,-,-,-,.,-
4886,2021-02-17,toulouse,sapinart stéphane,andré brouat toulouse,,totals,63,25,20,90,18,-,82,6,57%,39%,132,8,11,48,36%,15
