Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
5366,2021-11-19,sète,duflos patrick,gianmarchi-palmeira nice,1,gauna maximiliano,10,4,8,12,2,1,-,-,.,.,13,-,-,8,62%,1
5366,2021-11-19,sète,duflos patrick,gianmarchi-palmeira nice,3,chirivino maximiliano,1,-,1,17,-,-,-,-,.,.,1,-,-,1,100%,-
5366,2021-11-19,sète,duflos patrick,gianmarchi-palmeira nice,4,geiler  baptiste,9,2,1,16,1,-,34,4,50%,24%,18,2,1,8,44%,1
5366,2021-11-19,sète,duflos patrick,gianmarchi-palmeira nice,7,garcia matthieu,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5366,2021-11-19,sète,duflos patrick,gianmarchi-palmeira nice,8,diop cheikh,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5366,2021-11-19,sète,duflos patrick,gianmarchi-palmeira nice,9,picard  tom,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5366,2021-11-19,sète,duflos patrick,gianmarchi-palmeira nice,10,sclater ryan,17,5,9,15,2,1,-,-,.,.,35,4,2,16,46%,-
5366,2021-11-19,sète,duflos patrick,gianmarchi-palmeira nice,11,mabiala vincent,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5366,2021-11-19,sète,duflos patrick,gianmarchi-palmeira nice,13,beriot timo,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5366,2021-11-19,sète,duflos patrick,gianmarchi-palmeira nice,14,deveze romain (l),-,-,-1,-,-,-,14,1,50%,29%,-,-,-,-,.,-
5366,2021-11-19,sète,duflos patrick,gianmarchi-palmeira nice,15,karlitzek moritz,19,7,5,18,8,5,22,-,50%,18%,34,4,2,14,41%,-
5366,2021-11-19,sète,duflos patrick,gianmarchi-palmeira nice,18,kreek ardo,11,4,3,17,6,1,4,-,50%,25%,11,1,1,6,55%,4
5366,2021-11-19,sète,duflos patrick,gianmarchi-palmeira nice,,totals,67,22,26,95,19,8,74,5,50%,23%,112,11,6,53,47%,6
