Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
5898,2022-04-10,nice,redwitz rafael,robert grenon tours,1,lima bruno,9,3,3,10,2,-,1,-,100%,0%,17,2,2,7,41%,2
5898,2022-04-10,nice,redwitz rafael,robert grenon tours,3,marshall steven,9,4,3,12,2,-,12,1,33%,33%,15,2,1,7,47%,2
5898,2022-04-10,nice,redwitz rafael,robert grenon tours,4,cuk gojko,1,-,1,3,-,-,-,-,.,.,2,-,-,1,50%,-
5898,2022-04-10,nice,redwitz rafael,robert grenon tours,6,le meur lilian (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5898,2022-04-10,nice,redwitz rafael,robert grenon tours,7,giraudo matias,1,1,-3,11,4,1,1,-,0%,0%,-,-,-,-,.,-
5898,2022-04-10,nice,redwitz rafael,robert grenon tours,8,ribbens jelle (l),-,-,-2,-,-,-,17,2,59%,41%,-,-,-,-,.,-
5898,2022-04-10,nice,redwitz rafael,robert grenon tours,9,dukic marin,6,2,3,4,-,-,11,1,36%,27%,10,2,-,6,60%,-
5898,2022-04-10,nice,redwitz rafael,robert grenon tours,10,zonca paolo,5,2,-4,3,2,-,16,2,13%,6%,15,4,1,5,33%,-
5898,2022-04-10,nice,redwitz rafael,robert grenon tours,11,mora hugo,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5898,2022-04-10,nice,redwitz rafael,robert grenon tours,12,ah kong rodney-ken,3,-,3,8,-,-,1,-,0%,0%,7,-,-,2,29%,1
5898,2022-04-10,nice,redwitz rafael,robert grenon tours,14,medina franco valentin,2,-,-1,5,2,-,1,-,100%,0%,4,-,1,2,50%,-
5898,2022-04-10,nice,redwitz rafael,robert grenon tours,16,paolinetti luis,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5898,2022-04-10,nice,redwitz rafael,robert grenon tours,17,nack-minyem william,1,-,-,1,-,-,1,1,0%,0%,2,-,-,1,50%,-
5898,2022-04-10,nice,redwitz rafael,robert grenon tours,,totals,37,12,3,57,12,1,61,7,36%,25%,72,10,5,31,43%,5
