Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
5419,2022-02-01,sète,duflos patrick,louis marty sète,1,gauna maximiliano,12,6,10,16,-,1,1,-,100%,100%,12,-,2,8,67%,3
5419,2022-02-01,sète,duflos patrick,louis marty sète,3,chirivino maximiliano,1,-,-,12,1,-,-,-,.,.,1,-,-,1,100%,-
5419,2022-02-01,sète,duflos patrick,louis marty sète,4,geiler  baptiste,17,5,11,18,4,1,22,1,64%,41%,27,1,-,14,52%,2
5419,2022-02-01,sète,duflos patrick,louis marty sète,7,garcia matthieu,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5419,2022-02-01,sète,duflos patrick,louis marty sète,8,diop cheikh,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5419,2022-02-01,sète,duflos patrick,louis marty sète,9,picard  tom,9,2,2,19,3,-,31,-,55%,39%,20,1,3,9,45%,-
5419,2022-02-01,sète,duflos patrick,louis marty sète,10,sclater ryan,21,5,8,14,4,1,2,-,50%,50%,43,2,7,19,44%,1
5419,2022-02-01,sète,duflos patrick,louis marty sète,11,mabiala vincent,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5419,2022-02-01,sète,duflos patrick,louis marty sète,13,beriot timo,1,-,-2,1,-,-,4,1,25%,25%,2,1,1,-,0%,1
5419,2022-02-01,sète,duflos patrick,louis marty sète,14,deveze romain (l),-,-,-1,-,-,-,17,1,53%,35%,-,-,-,-,.,-
5419,2022-02-01,sète,duflos patrick,louis marty sète,15,karlitzek moritz,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5419,2022-02-01,sète,duflos patrick,louis marty sète,16,fouillade  hugo (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5419,2022-02-01,sète,duflos patrick,louis marty sète,18,kreek ardo,11,3,6,15,2,1,4,1,75%,50%,18,2,-,7,39%,3
5419,2022-02-01,sète,duflos patrick,louis marty sète,19,rippert tibo,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5419,2022-02-01,sète,duflos patrick,louis marty sète,,totals,72,21,34,95,14,4,81,4,57%,40%,123,7,13,58,47%,10
