Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
5317,2021-10-07,toulouse,sapinart stéphane,andré brouat toulouse,1,quinquis ugo,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5317,2021-10-07,toulouse,sapinart stéphane,andré brouat toulouse,3,burel nicolas,9,1,5,8,4,-,-,-,.,.,8,-,-,7,88%,2
5317,2021-10-07,toulouse,sapinart stéphane,andré brouat toulouse,4,jorna gijs,9,6,6,9,1,-,23,1,39%,35%,17,-,1,6,35%,3
5317,2021-10-07,toulouse,sapinart stéphane,andré brouat toulouse,5,pothron antoine,5,2,4,8,1,-,4,-,75%,50%,8,-,-,5,63%,-
5317,2021-10-07,toulouse,sapinart stéphane,andré brouat toulouse,6,kaba kevin,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5317,2021-10-07,toulouse,sapinart stéphane,andré brouat toulouse,7,boissinot axel (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5317,2021-10-07,toulouse,sapinart stéphane,andré brouat toulouse,8,panou joachim,1,-,-4,4,1,-,3,-,67%,33%,9,4,-,1,11%,-
5317,2021-10-07,toulouse,sapinart stéphane,andré brouat toulouse,9,cagliari daniel,13,2,1,17,3,1,-,-,.,.,30,3,6,12,40%,-
5317,2021-10-07,toulouse,sapinart stéphane,andré brouat toulouse,10,martins sene luiz,6,-,1,14,3,-,-,-,.,.,11,1,1,5,45%,1
5317,2021-10-07,toulouse,sapinart stéphane,andré brouat toulouse,11,pontes veloso thiago,3,2,1,14,1,-,1,1,0%,0%,2,-,-,-,0%,3
5317,2021-10-07,toulouse,sapinart stéphane,andré brouat toulouse,12,madsen oskar,10,4,-2,13,5,1,32,1,56%,34%,22,3,3,9,41%,-
5317,2021-10-07,toulouse,sapinart stéphane,andré brouat toulouse,15,nack minyem lohan,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5317,2021-10-07,toulouse,sapinart stéphane,andré brouat toulouse,17,assani-vignau titouan,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5317,2021-10-07,toulouse,sapinart stéphane,andré brouat toulouse,18,santucci facundo (l),-,-,-1,-,-,-,15,1,53%,13%,-,-,-,-,.,-
5317,2021-10-07,toulouse,sapinart stéphane,andré brouat toulouse,,totals,56,17,11,87,19,2,78,4,51%,31%,107,11,11,45,42%,9
