Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
5478,2022-03-04,toulouse,sapinart stéphane,pierre charpy paris 13,2,d'hollander paul,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
5478,2022-03-04,toulouse,sapinart stéphane,pierre charpy paris 13,3,burel nicolas,4,3,2,7,1,-,2,-,100%,50%,2,1,-,1,50%,3
5478,2022-03-04,toulouse,sapinart stéphane,pierre charpy paris 13,4,jorna gijs,7,1,2,14,1,-,17,-,59%,29%,15,1,3,7,47%,-
5478,2022-03-04,toulouse,sapinart stéphane,pierre charpy paris 13,5,pothron antoine,16,3,14,14,-,-,31,2,58%,29%,22,-,-,13,59%,3
5478,2022-03-04,toulouse,sapinart stéphane,pierre charpy paris 13,6,kaba kevin,-,-,-,2,-,-,1,-,100%,0%,2,-,-,-,0%,-
5478,2022-03-04,toulouse,sapinart stéphane,pierre charpy paris 13,8,panou joachim,2,-,-1,2,1,-,-,-,.,.,9,1,1,2,22%,-
5478,2022-03-04,toulouse,sapinart stéphane,pierre charpy paris 13,9,cagliari daniel,16,7,5,14,5,1,-,-,.,.,26,1,5,12,46%,3
5478,2022-03-04,toulouse,sapinart stéphane,pierre charpy paris 13,10,martins sene luiz,11,4,7,10,2,-,2,-,50%,0%,9,1,1,7,78%,4
5478,2022-03-04,toulouse,sapinart stéphane,pierre charpy paris 13,12,madsen oskar,2,-,1,2,1,-,1,-,100%,0%,5,-,-,2,40%,-
5478,2022-03-04,toulouse,sapinart stéphane,pierre charpy paris 13,18,santucci facundo (l),-,-,-2,-,-,-,18,2,44%,22%,-,-,-,-,.,-
5478,2022-03-04,toulouse,sapinart stéphane,pierre charpy paris 13,20,butler nicholas,1,1,-3,16,2,1,-,-,.,.,3,1,1,-,0%,-
5478,2022-03-04,toulouse,sapinart stéphane,pierre charpy paris 13,,totals,59,19,25,82,13,2,72,4,57%,26%,93,6,11,44,47%,13
