Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
5878,2022-04-13,toulouse,sapinart stéphane,andré brouat toulouse,3,burel nicolas,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5878,2022-04-13,toulouse,sapinart stéphane,andré brouat toulouse,4,jorna gijs,9,5,3,16,1,2,15,2,40%,33%,18,2,1,6,33%,1
5878,2022-04-13,toulouse,sapinart stéphane,andré brouat toulouse,5,pothron antoine,12,4,6,7,1,-,16,-,69%,50%,23,2,3,12,52%,-
5878,2022-04-13,toulouse,sapinart stéphane,andré brouat toulouse,6,kaba kevin,10,4,9,20,1,-,1,-,0%,0%,10,-,-,9,90%,1
5878,2022-04-13,toulouse,sapinart stéphane,andré brouat toulouse,7,boissinot axel (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5878,2022-04-13,toulouse,sapinart stéphane,andré brouat toulouse,8,panou joachim,8,6,6,7,1,3,-,-,.,.,6,-,1,5,83%,-
5878,2022-04-13,toulouse,sapinart stéphane,andré brouat toulouse,9,cagliari daniel,19,5,12,12,2,-,-,-,.,.,27,2,3,17,63%,2
5878,2022-04-13,toulouse,sapinart stéphane,andré brouat toulouse,10,martins sene luiz,6,3,2,15,2,-,-,-,.,.,8,1,1,3,38%,3
5878,2022-04-13,toulouse,sapinart stéphane,andré brouat toulouse,11,pontes veloso thiago,1,1,1,13,-,1,-,-,.,.,-,-,-,-,.,-
5878,2022-04-13,toulouse,sapinart stéphane,andré brouat toulouse,12,madsen oskar,2,1,-2,5,-,-,17,1,65%,41%,12,2,1,1,8%,1
5878,2022-04-13,toulouse,sapinart stéphane,andré brouat toulouse,15,nack minyem lohan,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
5878,2022-04-13,toulouse,sapinart stéphane,andré brouat toulouse,17,assani-vignau titouan,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5878,2022-04-13,toulouse,sapinart stéphane,andré brouat toulouse,18,santucci facundo (l),-,-,-1,-,-,-,19,-,79%,53%,1,1,-,-,0%,-
5878,2022-04-13,toulouse,sapinart stéphane,andré brouat toulouse,20,butler nicholas,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5878,2022-04-13,toulouse,sapinart stéphane,andré brouat toulouse,,totals,67,29,36,96,8,6,68,3,63%,44%,105,10,10,53,50%,8
