Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
5879,2022-04-13,cambrai,denys gabriel,vanpoulle cambrai,1,kroiss philipp (l),-,-,-1,-,-,-,20,1,60%,35%,-,-,-,-,.,-
5879,2022-04-13,cambrai,denys gabriel,vanpoulle cambrai,2,martinez gion ramon rénaldo,18,5,8,14,3,1,46,1,59%,35%,29,4,2,15,52%,2
5879,2022-04-13,cambrai,denys gabriel,vanpoulle cambrai,3,osoria rodriguez livan,3,1,-3,9,2,-,1,-,0%,0%,8,2,2,3,38%,-
5879,2022-04-13,cambrai,denys gabriel,vanpoulle cambrai,4,takaniko boris,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5879,2022-04-13,cambrai,denys gabriel,vanpoulle cambrai,5,lalisse  rémy,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5879,2022-04-13,cambrai,denys gabriel,vanpoulle cambrai,6,dutra oliveira yago,16,4,11,21,-,2,22,3,59%,41%,20,1,1,13,65%,1
5879,2022-04-13,cambrai,denys gabriel,vanpoulle cambrai,7,villard paul,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5879,2022-04-13,cambrai,denys gabriel,vanpoulle cambrai,10,marshman michael,5,2,4,10,1,1,1,-,100%,100%,6,-,-,3,50%,1
5879,2022-04-13,cambrai,denys gabriel,vanpoulle cambrai,11,pepin tinaël,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5879,2022-04-13,cambrai,denys gabriel,vanpoulle cambrai,12,ropret gregor,2,1,-1,14,3,1,-,-,.,.,2,-,-,1,50%,-
5879,2022-04-13,cambrai,denys gabriel,vanpoulle cambrai,13,tupchii vasyl,27,7,16,23,6,2,-,-,.,.,35,4,2,26,74%,-
5879,2022-04-13,cambrai,denys gabriel,vanpoulle cambrai,14,grosnon quentin (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5879,2022-04-13,cambrai,denys gabriel,vanpoulle cambrai,15,mitrasinovic tomislav,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5879,2022-04-13,cambrai,denys gabriel,vanpoulle cambrai,17,jecmenica ivan,2,-,1,12,1,-,1,-,0%,0%,4,-,-,1,25%,1
5879,2022-04-13,cambrai,denys gabriel,vanpoulle cambrai,,totals,73,20,35,103,16,7,91,5,58%,36%,104,11,7,62,60%,5
