Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
5899,2022-04-10,chaumont,prandi silvano,palestra chaumont,1,gutierrez suarez josé miguel,6,3,4,5,1,2,2,-,50%,0%,5,1,-,4,80%,-
5899,2022-04-10,chaumont,prandi silvano,palestra chaumont,2,mergarejo osniel,8,3,6,6,-,-,18,-,28%,17%,16,2,-,7,44%,1
5899,2022-04-10,chaumont,prandi silvano,palestra chaumont,4,gueye moussé,2,1,2,2,-,-,-,-,.,.,2,-,-,2,100%,-
5899,2022-04-10,chaumont,prandi silvano,palestra chaumont,5,laumon maxime,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5899,2022-04-10,chaumont,prandi silvano,palestra chaumont,6,corre raphaël,4,3,1,15,3,2,-,-,.,.,3,-,-,2,67%,-
5899,2022-04-10,chaumont,prandi silvano,palestra chaumont,7,bouleau pierre (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5899,2022-04-10,chaumont,prandi silvano,palestra chaumont,8,plak fabian,6,1,-,7,4,1,-,-,.,.,8,1,1,5,63%,-
5899,2022-04-10,chaumont,prandi silvano,palestra chaumont,10,aciobanitei robert-adrian,11,3,6,14,4,2,16,-,38%,13%,15,1,-,9,60%,-
5899,2022-04-10,chaumont,prandi silvano,palestra chaumont,12,herrera jaime jesus,12,8,5,15,3,3,-,-,.,.,14,2,2,7,50%,2
5899,2022-04-10,chaumont,prandi silvano,palestra chaumont,14,da silva cédric,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5899,2022-04-10,chaumont,prandi silvano,palestra chaumont,15,roatta maxime,1,-,1,-,-,-,-,-,.,.,1,-,-,1,100%,-
5899,2022-04-10,chaumont,prandi silvano,palestra chaumont,17,alonso roamy,7,1,5,10,1,-,-,-,.,.,9,1,-,5,56%,2
5899,2022-04-10,chaumont,prandi silvano,palestra chaumont,19,massimino franco (l),-,-,-2,-,-,-,13,2,62%,38%,-,-,-,-,.,-
5899,2022-04-10,chaumont,prandi silvano,palestra chaumont,,totals,57,23,28,74,16,10,49,2,41%,20%,73,8,3,42,58%,5
