Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
5498,2022-03-19,narbonne,falasca guillermo,robert grenon tours,3,bassereau rémi,5,1,-1,5,1,-,10,2,60%,20%,15,3,-,5,33%,-
5498,2022-03-19,narbonne,falasca guillermo,robert grenon tours,4,socie victor,3,2,-,3,1,-,7,2,29%,14%,7,-,-,3,43%,-
5498,2022-03-19,narbonne,falasca guillermo,robert grenon tours,5,uriarte nicolas,1,-,-1,5,1,-,-,-,.,.,2,1,-,1,50%,-
5498,2022-03-19,narbonne,falasca guillermo,robert grenon tours,6,jouffroy quentin,-,-,-3,7,2,-,1,-,0%,0%,2,-,1,-,0%,-
5498,2022-03-19,narbonne,falasca guillermo,robert grenon tours,7,verissimo allan,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5498,2022-03-19,narbonne,falasca guillermo,robert grenon tours,8,gabin alexandre,-,-,-1,7,1,-,-,-,.,.,1,-,-,-,0%,-
5498,2022-03-19,narbonne,falasca guillermo,robert grenon tours,9,bouguerra aymen,4,1,3,4,1,1,7,-,43%,29%,4,-,-,3,75%,-
5498,2022-03-19,narbonne,falasca guillermo,robert grenon tours,10,durand théo (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5498,2022-03-19,narbonne,falasca guillermo,robert grenon tours,12,zerba nicolas,7,2,3,9,2,-,1,-,0%,0%,8,2,-,4,50%,3
5498,2022-03-19,narbonne,falasca guillermo,robert grenon tours,15,faganas julien,6,-,3,5,1,-,-,-,.,.,13,1,1,6,46%,-
5498,2022-03-19,narbonne,falasca guillermo,robert grenon tours,16,duee ludovic (l),-,-,-2,-,-,-,21,2,67%,19%,-,-,-,-,.,-
5498,2022-03-19,narbonne,falasca guillermo,robert grenon tours,17,zanotti lisandro,7,1,2,7,1,-,17,3,41%,18%,10,1,-,7,70%,-
5498,2022-03-19,narbonne,falasca guillermo,robert grenon tours,18,ramos martin,5,2,1,9,3,1,-,-,.,.,9,1,-,4,44%,-
5498,2022-03-19,narbonne,falasca guillermo,robert grenon tours,20,rodrigues de araujo rafael,10,3,6,6,2,-,-,-,.,.,18,1,1,9,50%,1
5498,2022-03-19,narbonne,falasca guillermo,robert grenon tours,,totals,48,12,10,67,16,2,64,9,50%,19%,89,10,3,42,47%,4
