Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
6414,2022-12-10,sète,marquet luc,pierre charpy paris 13,1,gauna maximiliano,5,-,4,7,1,-,1,-,100%,0%,5,-,-,5,100%,-
6414,2022-12-10,sète,marquet luc,pierre charpy paris 13,5,sossenheimer david ,2,-,-2,7,2,-,20,1,70%,50%,8,-,1,2,25%,-
6414,2022-12-10,sète,marquet luc,pierre charpy paris 13,7,garcia matthieu,1,1,-,3,1,-,-,-,.,.,-,-,-,-,.,1
6414,2022-12-10,sète,marquet luc,pierre charpy paris 13,9,picard  tom,9,2,3,11,2,1,16,1,81%,56%,17,-,3,8,47%,-
6414,2022-12-10,sète,marquet luc,pierre charpy paris 13,10,bentahar mahdi ,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6414,2022-12-10,sète,marquet luc,pierre charpy paris 13,12,zolotukhin nikita ,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6414,2022-12-10,sète,marquet luc,pierre charpy paris 13,13,beriot timo,-,-,-2,1,-,-,8,-,38%,25%,4,1,1,-,0%,-
6414,2022-12-10,sète,marquet luc,pierre charpy paris 13,14,deveze romain (l),-,-,-,-,-,-,10,-,60%,40%,-,-,-,-,.,-
6414,2022-12-10,sète,marquet luc,pierre charpy paris 13,15,russell kyle,15,4,6,14,1,2,-,-,.,.,35,3,5,13,37%,-
6414,2022-12-10,sète,marquet luc,pierre charpy paris 13,16,fouillade  hugo,-,-,-,-,-,-,1,-,100%,100%,-,-,-,-,.,-
6414,2022-12-10,sète,marquet luc,pierre charpy paris 13,17,zanotti lisandro,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6414,2022-12-10,sète,marquet luc,pierre charpy paris 13,18,kreek ardo,7,3,1,9,2,-,4,-,75%,0%,11,4,-,4,36%,3
6414,2022-12-10,sète,marquet luc,pierre charpy paris 13,19,rippert tibo,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6414,2022-12-10,sète,marquet luc,pierre charpy paris 13,20,epp derek ,-,-,-,5,-,-,-,-,.,.,-,-,-,-,.,-
6414,2022-12-10,sète,marquet luc,pierre charpy paris 13,,totals,39,10,10,57,9,3,60,2,68%,43%,80,8,10,32,40%,4
