Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
6367,2022-11-02,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,1,de leon guimaraes da silva hugo,8,1,-3,17,6,1,15,-,47%,27%,21,1,4,7,33%,-
6367,2022-11-02,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,2,ripoche arthur,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6367,2022-11-02,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,3,nevot thomas,2,1,-1,16,3,1,-,-,.,.,1,-,-,-,0%,1
6367,2022-11-02,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,4,rouzier antonin,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6367,2022-11-02,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,5,jeanlys samuel,19,8,14,14,3,-,-,-,.,.,27,-,2,16,59%,3
6367,2022-11-02,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,6,debes julian (l),-,-,-1,-,-,-,27,1,44%,37%,-,-,-,-,.,-
6367,2022-11-02,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,8,mitchem tyler,2,-,1,2,1,-,1,-,0%,0%,2,-,-,2,100%,-
6367,2022-11-02,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,9,suihkonen niko,17,4,14,17,1,-,21,1,67%,33%,31,-,1,16,52%,1
6367,2022-11-02,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,10,paofai nohoarii,11,4,11,14,-,-,1,-,100%,100%,13,-,-,7,54%,4
6367,2022-11-02,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,11,gnenegbe yao,-,-,-2,5,2,-,-,-,.,.,-,-,-,-,.,-
6367,2022-11-02,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,14,gomes ruben,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6367,2022-11-02,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,15,ponsin arsène,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6367,2022-11-02,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,17,de jesus louis,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6367,2022-11-02,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,18,benavidez faitella felipe,1,-,-2,3,-,-,10,1,60%,50%,6,1,1,1,17%,-
6367,2022-11-02,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,20,henry mederic,7,2,2,19,3,1,2,-,50%,0%,11,2,-,5,45%,1
6367,2022-11-02,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,,totals,67,20,33,107,19,3,77,3,53%,35%,112,4,8,54,48%,10
