Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
6448,2023-01-21,cambrai,denys gabriel,vanpoulle cambrai,1,kroiss philipp (l),-,-,-2,-,-,-,13,2,46%,46%,-,-,-,-,.,-
6448,2023-01-21,cambrai,denys gabriel,vanpoulle cambrai,2,grosnon quentin (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6448,2023-01-21,cambrai,denys gabriel,vanpoulle cambrai,3,lalisse  rémy,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6448,2023-01-21,cambrai,denys gabriel,vanpoulle cambrai,4,takaniko boris,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6448,2023-01-21,cambrai,denys gabriel,vanpoulle cambrai,6,dutra oliveira yago,2,1,-3,3,2,-,12,-,58%,42%,13,1,2,2,15%,-
6448,2023-01-21,cambrai,denys gabriel,vanpoulle cambrai,7,villard paul,19,9,9,20,5,4,44,3,52%,34%,24,1,1,13,54%,2
6448,2023-01-21,cambrai,denys gabriel,vanpoulle cambrai,9,egleskalns hermans,28,9,14,11,2,2,1,-,0%,0%,47,4,8,25,53%,1
6448,2023-01-21,cambrai,denys gabriel,vanpoulle cambrai,10,van zeist maikel,-,-,-,2,-,-,-,-,.,.,-,-,-,-,.,-
6448,2023-01-21,cambrai,denys gabriel,vanpoulle cambrai,11,pepin tinaël,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
6448,2023-01-21,cambrai,denys gabriel,vanpoulle cambrai,14,geiler  baptiste,11,6,8,20,1,3,19,-,68%,26%,18,1,1,8,44%,-
6448,2023-01-21,cambrai,denys gabriel,vanpoulle cambrai,15,fiel david,13,4,9,17,-,1,4,-,50%,0%,16,1,3,8,50%,4
6448,2023-01-21,cambrai,denys gabriel,vanpoulle cambrai,17,jecmenica ivan,10,2,7,12,2,-,5,-,80%,40%,12,-,1,8,67%,2
6448,2023-01-21,cambrai,denys gabriel,vanpoulle cambrai,19,folguera xavier,4,2,1,20,2,1,-,-,.,.,5,1,-,3,60%,-
6448,2023-01-21,cambrai,denys gabriel,vanpoulle cambrai,,totals,87,33,43,106,14,11,98,5,56%,34%,135,9,16,67,50%,9
