Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
6425,2023-02-15,plessis-robinson,logeais cédric,pierre charpy paris 13,1,de leon guimaraes da silva hugo,18,8,12,16,5,1,13,-,46%,31%,31,-,1,17,55%,-
6425,2023-02-15,plessis-robinson,logeais cédric,pierre charpy paris 13,2,ripoche arthur,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6425,2023-02-15,plessis-robinson,logeais cédric,pierre charpy paris 13,3,nevot thomas,3,2,2,19,1,1,-,-,.,.,3,-,-,-,0%,2
6425,2023-02-15,plessis-robinson,logeais cédric,pierre charpy paris 13,5,jeanlys samuel,15,5,3,15,5,1,1,-,0%,0%,23,4,3,12,52%,2
6425,2023-02-15,plessis-robinson,logeais cédric,pierre charpy paris 13,6,debes julian (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6425,2023-02-15,plessis-robinson,logeais cédric,pierre charpy paris 13,8,mitchem tyler,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6425,2023-02-15,plessis-robinson,logeais cédric,pierre charpy paris 13,9,suihkonen niko,11,4,10,18,-,-,9,-,67%,33%,16,1,-,9,56%,2
6425,2023-02-15,plessis-robinson,logeais cédric,pierre charpy paris 13,10,paofai nohoarii,9,2,6,13,2,-,1,-,0%,0%,6,1,-,5,83%,4
6425,2023-02-15,plessis-robinson,logeais cédric,pierre charpy paris 13,11,gnenegbe yao,-,-,-1,6,1,-,-,-,.,.,-,-,-,-,.,-
6425,2023-02-15,plessis-robinson,logeais cédric,pierre charpy paris 13,15,ponsin arsène,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6425,2023-02-15,plessis-robinson,logeais cédric,pierre charpy paris 13,17,de jesus louis,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6425,2023-02-15,plessis-robinson,logeais cédric,pierre charpy paris 13,18,benavidez faitella felipe (l),-,-,-4,-,-,-,36,4,33%,11%,-,-,-,-,.,-
6425,2023-02-15,plessis-robinson,logeais cédric,pierre charpy paris 13,20,henry mederic,8,4,6,9,1,1,2,-,50%,0%,8,-,1,6,75%,1
6425,2023-02-15,plessis-robinson,logeais cédric,pierre charpy paris 13,,totals,64,25,34,96,15,4,62,4,40%,18%,87,6,5,49,56%,11
