Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
6368,2022-11-02,toulouse,duflos patrick,andré brouat toulouse,1,quinquis ugo,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6368,2022-11-02,toulouse,duflos patrick,andré brouat toulouse,2,d'hollander paul,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6368,2022-11-02,toulouse,duflos patrick,andré brouat toulouse,5,pothron antoine,17,5,8,17,2,1,35,1,49%,9%,30,2,4,14,47%,2
6368,2022-11-02,toulouse,duflos patrick,andré brouat toulouse,7,chirivino  maximiliano,1,1,1,14,-,-,-,-,.,.,2,-,-,-,0%,1
6368,2022-11-02,toulouse,duflos patrick,andré brouat toulouse,8,jaguszewski thierry,7,5,1,7,1,-,15,2,53%,7%,12,1,2,5,42%,2
6368,2022-11-02,toulouse,duflos patrick,andré brouat toulouse,9,cagliari daniel,22,8,14,17,1,3,-,-,.,.,36,2,5,18,50%,1
6368,2022-11-02,toulouse,duflos patrick,andré brouat toulouse,10,martins sene luiz,8,2,6,14,1,-,-,-,.,.,12,1,-,7,58%,1
6368,2022-11-02,toulouse,duflos patrick,andré brouat toulouse,13,mota silveira deivid,4,3,2,7,-,-,13,2,46%,15%,6,-,-,3,50%,1
6368,2022-11-02,toulouse,duflos patrick,andré brouat toulouse,14,abboub djamel (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6368,2022-11-02,toulouse,duflos patrick,andré brouat toulouse,15,nack minyem lohan,-,-,-,-,-,-,-,-,.,.,1,-,-,-,0%,-
6368,2022-11-02,toulouse,duflos patrick,andré brouat toulouse,17,assani-vignau titouan,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6368,2022-11-02,toulouse,duflos patrick,andré brouat toulouse,18,santucci facundo (l),-,-,-1,-,-,-,21,1,76%,19%,-,-,-,-,.,-
6368,2022-11-02,toulouse,duflos patrick,andré brouat toulouse,19,kartev nikolay,9,2,3,13,2,-,-,-,.,.,15,3,1,9,60%,-
6368,2022-11-02,toulouse,duflos patrick,andré brouat toulouse,21,heptinstall thomas,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6368,2022-11-02,toulouse,duflos patrick,andré brouat toulouse,,totals,68,26,34,89,7,4,84,6,56%,12%,114,9,12,56,49%,8
