Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
6395,2022-11-25,tours,fronckowiak marcelo,contact arena orchies,1,de barros ferreira joao rafael,16,7,12,17,3,4,30,-,70%,40%,24,1,-,12,50%,-
6395,2022-11-25,tours,fronckowiak marcelo,contact arena orchies,2,derouillon pierre,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6395,2022-11-25,tours,fronckowiak marcelo,contact arena orchies,5,nascimento dos santos leandro,12,7,7,17,4,3,-,-,.,.,11,-,1,8,73%,1
6395,2022-11-25,tours,fronckowiak marcelo,contact arena orchies,7,palonsky luciano,11,2,6,14,2,-,18,2,33%,17%,16,-,1,10,63%,1
6395,2022-11-25,tours,fronckowiak marcelo,contact arena orchies,8,chauvin gary,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6395,2022-11-25,tours,fronckowiak marcelo,contact arena orchies,10,drame neto aboubacar,22,10,8,17,5,1,-,-,.,.,35,5,4,18,51%,3
6395,2022-11-25,tours,fronckowiak marcelo,contact arena orchies,12,teryomenko dmytro,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6395,2022-11-25,tours,fronckowiak marcelo,contact arena orchies,14,diez benjamin (l),-,-,-,-,-,-,23,-,61%,39%,-,-,-,-,.,-
6395,2022-11-25,tours,fronckowiak marcelo,contact arena orchies,17,coric zeljko,5,4,-1,17,5,3,-,-,.,.,4,-,1,1,25%,1
6395,2022-11-25,tours,fronckowiak marcelo,contact arena orchies,19,monteiro de santana jose ademar,-,-,-1,4,1,-,-,-,.,.,-,-,-,-,.,-
6395,2022-11-25,tours,fronckowiak marcelo,contact arena orchies,20,klajmon jakub,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6395,2022-11-25,tours,fronckowiak marcelo,contact arena orchies,22,parkinson michael,12,4,11,11,1,1,-,-,.,.,11,-,-,8,73%,3
6395,2022-11-25,tours,fronckowiak marcelo,contact arena orchies,,totals,78,34,42,97,21,12,71,2,58%,34%,101,6,7,57,56%,9
