Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
6946,2023-04-16,narbonne,falasca guillermo,stab vélodrome roubaix,3,vasquez osta moises eduardo,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6946,2023-04-16,narbonne,falasca guillermo,stab vélodrome roubaix,4,socie victor,-,-,-1,2,1,-,-,-,.,.,-,-,-,-,.,-
6946,2023-04-16,narbonne,falasca guillermo,stab vélodrome roubaix,5,lersch da silveira vinicius,-,-,-2,-,-,-,8,1,13%,0%,1,-,1,-,0%,-
6946,2023-04-16,narbonne,falasca guillermo,stab vélodrome roubaix,6,jouffroy quentin,2,-,-3,19,5,-,-,-,.,.,4,-,-,2,50%,-
6946,2023-04-16,narbonne,falasca guillermo,stab vélodrome roubaix,7,ramon luca (l),-,-,-1,-,-,-,13,1,46%,23%,-,-,-,-,.,-
6946,2023-04-16,narbonne,falasca guillermo,stab vélodrome roubaix,8,gabin alexandre,-,-,-,5,-,-,-,-,.,.,-,-,-,-,.,-
6946,2023-04-16,narbonne,falasca guillermo,stab vélodrome roubaix,9,vettori luca,20,4,15,18,2,1,-,-,.,.,37,2,1,18,49%,1
6946,2023-04-16,narbonne,falasca guillermo,stab vélodrome roubaix,10,ramon ferragut jordi,25,10,11,24,4,5,60,2,43%,25%,46,5,3,18,39%,2
6946,2023-04-16,narbonne,falasca guillermo,stab vélodrome roubaix,12,kolev nikolay,11,2,8,13,3,-,2,-,0%,0%,10,-,-,7,70%,4
6946,2023-04-16,narbonne,falasca guillermo,stab vélodrome roubaix,15,faganas julien,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
6946,2023-04-16,narbonne,falasca guillermo,stab vélodrome roubaix,18,gelinski danilo,-,-,-2,10,-,-,-,-,.,.,6,1,1,-,0%,-
6946,2023-04-16,narbonne,falasca guillermo,stab vélodrome roubaix,19,rivas quijada willner enrique,24,6,12,16,6,-,11,1,45%,27%,39,1,4,23,59%,1
6946,2023-04-16,narbonne,falasca guillermo,stab vélodrome roubaix,,totals,82,22,37,108,21,6,94,5,40%,22%,143,9,10,68,48%,8
