Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
6484,2023-02-25,toulouse,duflos patrick,andré brouat toulouse,1,quinquis ugo,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6484,2023-02-25,toulouse,duflos patrick,andré brouat toulouse,5,pothron antoine,10,3,6,9,2,-,26,-,54%,27%,18,2,-,10,56%,-
6484,2023-02-25,toulouse,duflos patrick,andré brouat toulouse,7,chirivino  maximiliano,1,1,-,14,-,1,-,-,.,.,1,1,-,-,0%,-
6484,2023-02-25,toulouse,duflos patrick,andré brouat toulouse,8,jaguszewski thierry,1,1,-1,2,1,-,4,1,25%,25%,-,-,-,-,.,1
6484,2023-02-25,toulouse,duflos patrick,andré brouat toulouse,9,cagliari daniel,19,9,14,14,3,1,-,-,.,.,23,1,1,17,74%,1
6484,2023-02-25,toulouse,duflos patrick,andré brouat toulouse,11,fabrowski quentin,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6484,2023-02-25,toulouse,duflos patrick,andré brouat toulouse,14,abboub djamel,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6484,2023-02-25,toulouse,duflos patrick,andré brouat toulouse,15,nack minyem lohan,4,3,3,11,1,-,2,-,50%,50%,5,-,-,2,40%,2
6484,2023-02-25,toulouse,duflos patrick,andré brouat toulouse,18,santucci facundo (l),-,-,-,-,-,-,11,-,36%,18%,-,-,-,-,.,-
6484,2023-02-25,toulouse,duflos patrick,andré brouat toulouse,19,kartev nikolay,12,4,10,16,1,2,-,-,.,.,10,1,-,9,90%,1
6484,2023-02-25,toulouse,duflos patrick,andré brouat toulouse,21,heptinstall thomas,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6484,2023-02-25,toulouse,duflos patrick,andré brouat toulouse,23,karyagin denis,5,3,-4,7,3,-,9,2,33%,22%,13,-,4,4,31%,1
6484,2023-02-25,toulouse,duflos patrick,andré brouat toulouse,,totals,52,24,28,73,11,4,52,3,44%,25%,70,5,5,42,60%,6
