Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
6473,2023-02-18,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,1,de leon guimaraes da silva hugo,9,4,2,15,4,-,16,1,56%,25%,18,-,2,8,44%,1
6473,2023-02-18,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,2,ripoche arthur,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6473,2023-02-18,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,3,nevot thomas,5,3,2,14,2,-,-,-,.,.,4,-,1,3,75%,2
6473,2023-02-18,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,4,rouzier antonin,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6473,2023-02-18,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,5,jeanlys samuel,10,2,-1,16,5,-,-,-,.,.,23,4,2,8,35%,2
6473,2023-02-18,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,6,debes julian (l),-,-,-3,-,-,-,22,3,36%,23%,-,-,-,-,.,-
6473,2023-02-18,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,8,mitchem tyler,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6473,2023-02-18,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,9,suihkonen niko,20,6,17,18,-,-,24,-,42%,21%,29,3,-,15,52%,5
6473,2023-02-18,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,10,paofai nohoarii,10,5,8,9,1,-,2,-,50%,50%,8,1,-,6,75%,4
6473,2023-02-18,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,11,gnenegbe yao,-,-,-1,6,1,-,-,-,.,.,-,-,-,-,.,-
6473,2023-02-18,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,14,gomes ruben,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6473,2023-02-18,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,15,ponsin arsène,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6473,2023-02-18,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,17,de jesus louis,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6473,2023-02-18,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,18,benavidez faitella felipe,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
6473,2023-02-18,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,20,henry mederic,9,4,7,16,1,-,1,1,0%,0%,8,-,-,5,63%,4
6473,2023-02-18,plessis-robinson,logeais cédric,espace omnisports plessis-robinson,,totals,63,24,31,95,14,-,65,5,43%,23%,90,8,5,45,50%,18
