Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
6366,2022-10-29,narbonne,falasca guillermo,arena narbonne,1,mosquera galvis ronnie stewar (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6366,2022-10-29,narbonne,falasca guillermo,arena narbonne,3,vasquez osta moises eduardo,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6366,2022-10-29,narbonne,falasca guillermo,arena narbonne,4,socie victor,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6366,2022-10-29,narbonne,falasca guillermo,arena narbonne,5,lersch da silveira vinicius,6,3,4,7,1,-,22,1,45%,18%,7,-,-,4,57%,2
6366,2022-10-29,narbonne,falasca guillermo,arena narbonne,6,jouffroy quentin,5,2,-,16,4,2,1,-,100%,100%,4,-,1,2,50%,1
6366,2022-10-29,narbonne,falasca guillermo,arena narbonne,7,ramon luca (l),-,-,-1,-,-,-,19,1,47%,37%,-,-,-,-,.,-
6366,2022-10-29,narbonne,falasca guillermo,arena narbonne,8,gabin alexandre,-,-,-1,4,1,-,-,-,.,.,-,-,-,-,.,-
6366,2022-10-29,narbonne,falasca guillermo,arena narbonne,9,vettori luca,5,-,-3,7,2,-,-,-,.,.,17,2,4,5,29%,-
6366,2022-10-29,narbonne,falasca guillermo,arena narbonne,10,ramon ferragut jordi,2,-,-1,2,-,-,5,-,20%,20%,7,2,1,2,29%,-
6366,2022-10-29,narbonne,falasca guillermo,arena narbonne,11,dijoud tanguy,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6366,2022-10-29,narbonne,falasca guillermo,arena narbonne,12,kolev nikolay,8,3,7,6,1,-,-,-,.,.,8,-,-,5,63%,3
6366,2022-10-29,narbonne,falasca guillermo,arena narbonne,15,faganas julien,1,-,-2,3,1,-,-,-,.,.,4,1,1,1,25%,-
6366,2022-10-29,narbonne,falasca guillermo,arena narbonne,18,gelinski danilo,1,1,-,8,1,-,-,-,.,.,2,-,-,1,50%,-
6366,2022-10-29,narbonne,falasca guillermo,arena narbonne,19,rivas quijada willner enrique,18,4,11,10,3,1,14,1,36%,29%,29,3,-,17,59%,-
6366,2022-10-29,narbonne,falasca guillermo,arena narbonne,,totals,46,13,14,63,14,3,61,3,43%,28%,78,8,7,37,47%,6
