Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
6402,2022-12-02,toulouse,duflos patrick,andré brouat toulouse,1,quinquis ugo,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6402,2022-12-02,toulouse,duflos patrick,andré brouat toulouse,2,d'hollander paul,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6402,2022-12-02,toulouse,duflos patrick,andré brouat toulouse,5,pothron antoine,10,2,8,14,1,-,21,-,48%,33%,16,1,-,9,56%,1
6402,2022-12-02,toulouse,duflos patrick,andré brouat toulouse,7,chirivino  maximiliano,1,-,-1,16,2,-,1,-,100%,0%,1,-,-,1,100%,-
6402,2022-12-02,toulouse,duflos patrick,andré brouat toulouse,8,jaguszewski thierry,6,3,-3,14,3,-,25,1,60%,20%,22,2,3,6,27%,-
6402,2022-12-02,toulouse,duflos patrick,andré brouat toulouse,9,cagliari daniel,18,7,9,19,3,3,-,-,.,.,30,2,4,15,50%,-
6402,2022-12-02,toulouse,duflos patrick,andré brouat toulouse,10,martins sene luiz,12,2,10,19,-,-,-,-,.,.,16,1,1,11,69%,1
6402,2022-12-02,toulouse,duflos patrick,andré brouat toulouse,14,abboub djamel,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6402,2022-12-02,toulouse,duflos patrick,andré brouat toulouse,15,nack minyem lohan,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6402,2022-12-02,toulouse,duflos patrick,andré brouat toulouse,18,santucci facundo (l),-,-,-,-,-,-,9,-,67%,22%,-,-,-,-,.,-
6402,2022-12-02,toulouse,duflos patrick,andré brouat toulouse,19,kartev nikolay,11,3,11,14,-,-,-,-,.,.,8,-,-,7,88%,4
6402,2022-12-02,toulouse,duflos patrick,andré brouat toulouse,21,heptinstall thomas,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
6402,2022-12-02,toulouse,duflos patrick,andré brouat toulouse,,totals,58,17,34,96,9,3,56,1,57%,25%,93,6,8,49,53%,6
